Participant_ID,Openness,Conscientiousness,Extroversion,Agreeableness,Neuroticism,Primary Evidence (Quote),Reasoning Summary
10117171,4,6,2,3,10,I appreciate your concern,Score (10/10) reflects dense usage of Neuroticism markers like 'i'.
10117181,3,1,5,3,8,I find a walk in nature helps me,"Score (8/10) reflects dense usage of Neuroticism markers like 'i, me'."
10117189,4,6,4,2,9,I am good,Score (9/10) reflects dense usage of Neuroticism markers like 'i'.
10117196,1,10,6,5,4,great and you you're welcome why not...,"Score (10/10) reflects dense usage of Conscientiousness markers like 'plan, trip'."
10117204,4,7,3,2,1,That's the plan,Score (7/10) reflects dense usage of Conscientiousness markers like 'plan'.
10117263,4,3,4,5,7,I agree wholeheartedly,Score (7/10) reflects dense usage of Neuroticism markers like 'i'.
10117266,4,7,4,3,5,"I see, do you enjoy your job and the people you work with","Score (7/10) reflects dense usage of Conscientiousness markers like 'job, work'."
10117310,3,6,5,5,6,I'm doing great,Score (6/10) reflects dense usage of Neuroticism markers like 'i'.
10117352,5,3,3,2,8,i really like it,Score (8/10) reflects dense usage of Neuroticism markers like 'i'.
10117424,1,8,4,3,9,I am doing great,Score (9/10) reflects dense usage of Neuroticism markers like 'i'.
10117478,7,4,2,3,4,I like music,Score (7/10) reflects dense usage of Openness markers like 'music'.
10117696,5,3,6,3,7,I try to avoid things that stress me out,"Score (7/10) reflects dense usage of Neuroticism markers like 'i, stress, me'."
10117760,4,4,2,5,4,sorry to hear that yeah,"Score (5/10) reflects dense usage of Agreeableness markers like 'yeah, sorry'."
10117874,4,3,4,4,7,"Thanks, me too",Score (7/10) reflects dense usage of Neuroticism markers like 'me'.
10117912,3,1,4,3,9,I like to laugh at my mistakes,"Score (9/10) reflects dense usage of Neuroticism markers like 'my, i'."
10117950,10,4,1,3,7,"I work on music, read, and play chess","Score (10/10) reflects dense usage of Openness markers like 'music, read'."
10118016,7,7,2,2,4,Do you think this is true,Score (7/10) reflects dense usage of Openness markers like 'think'.
10118261,4,4,3,4,7,I definitely feel restless sometimes...,"Score (7/10) reflects dense usage of Neuroticism markers like 'bad, i, restless'."
10118268,8,1,2,2,1,fine yeah I'm great not my problem...,"Score (8/10) reflects dense usage of Openness markers like 'think, know'."
10118299,4,3,6,4,6,I love Japanese RPGs,Score (6/10) reflects dense usage of Neuroticism markers like 'i'.
10269258,5,4,2,4,5,i do some cardio every now and then...,"Score (5/10) reflects dense usage of Neuroticism markers like 'my, i, me'."
10269277,8,3,3,4,7,Maybe some music can help,"Score (8/10) reflects dense usage of Openness markers like 'maybe, music'."
10269286,6,5,6,3,4,What do you read,Score (6/10) reflects dense usage of Openness markers like 'read'.
10269296,4,4,1,3,9,"Yes, I do struggle sometimes with my diet though","Score (9/10) reflects dense usage of Neuroticism markers like 'struggle, my, die'."
10269305,7,6,3,3,5,What's the last book you read,"Score (7/10) reflects dense usage of Openness markers like 'read, book'."
10269314,7,4,4,3,5,I know it is hard,Score (7/10) reflects dense usage of Openness markers like 'know'.
10269319,5,3,4,3,6,I totally agree,Score (6/10) reflects dense usage of Neuroticism markers like 'i'.
10269353,4,4,5,3,5,I am trying,Score (5/10) reflects dense usage of Neuroticism markers like 'i'.
10269413,2,8,3,3,8,I work in my home office,"Score (8/10) reflects dense usage of Neuroticism markers like 'my, i, me'."
10269434,6,2,3,5,5,Anything interesting going on with you,Score (6/10) reflects dense usage of Openness markers like 'interesting'.
10269440,3,8,4,2,5,You don't have to plan a vacation,Score (8/10) reflects dense usage of Conscientiousness markers like 'plan'.
10269445,5,8,7,4,9,"Yes, I hate that feeling","Score (9/10) reflects dense usage of Neuroticism markers like 'i, hate'."
10269450,7,4,4,4,9,I hate that feeling,"Score (9/10) reflects dense usage of Neuroticism markers like 'i, hate'."
10269475,5,2,4,3,6,I prefer alone,Score (6/10) reflects dense usage of Neuroticism markers like 'i'.
10269476,3,9,4,2,5,Work has been good,Score (9/10) reflects dense usage of Conscientiousness markers like 'work'.
10269598,5,3,2,4,7,That sounds awful,Score (7/10) reflects dense usage of Neuroticism markers like 'awful'.
10269734,2,4,5,5,9,I try my best,"Score (9/10) reflects dense usage of Neuroticism markers like 'my, i'."
10269900,4,2,2,1,5,i don't want fleas in my car,"Score (5/10) reflects dense usage of Neuroticism markers like 'my, i'."
10269912,4,4,4,10,5,yes Good and you,"Score (10/10) reflects dense usage of Agreeableness markers like 'yes, good'."
10269942,3,2,1,4,7,i called her my terrorist because she scratched me so much,"Score (7/10) reflects dense usage of Neuroticism markers like 'my, i, me'."
10270008,3,5,6,3,7,I get it,Score (7/10) reflects dense usage of Neuroticism markers like 'i'.
10270100,4,3,3,5,7,"yea, I always have trouble with that","Score (7/10) reflects dense usage of Neuroticism markers like 'trouble, i'."
10270275,5,3,5,4,6,well i just mentioned mine earlier...,"Score (6/10) reflects dense usage of Neuroticism markers like 'i, me'."
10270371,3,5,5,4,7,"I do when I have time, I also like...","Score (7/10) reflects dense usage of Neuroticism markers like 'i, me'."
10270474,6,5,2,2,9,"I am good, you",Score (9/10) reflects dense usage of Neuroticism markers like 'i'.
10270540,4,8,1,5,9,I am doing that,Score (9/10) reflects dense usage of Neuroticism markers like 'i'.
10270624,5,7,7,3,8,I am glad,Score (8/10) reflects dense usage of Neuroticism markers like 'i'.
10270847,3,2,4,3,4,"I'm good, how are you",Score (4/10) reflects dense usage of Neuroticism markers like 'i'.
10288304,4,3,5,1,5,I love purple,Score (5/10) reflects dense usage of Neuroticism markers like 'i'.
10288907,5,6,5,2,7,"I understand, I do too",Score (7/10) reflects dense usage of Neuroticism markers like 'i'.
10290591,5,2,4,4,7,"I am great, how about you",Score (7/10) reflects dense usage of Neuroticism markers like 'i'.
10291341,8,2,4,3,6,It's very interesting,Score (8/10) reflects dense usage of Openness markers like 'interesting'.
10295692,5,5,5,3,7,I wish I did,Score (7/10) reflects dense usage of Neuroticism markers like 'i'.
10310934,6,7,10,5,7,"Oooh reading, seems fun",Score (10/10) reflects dense usage of Extroversion markers like 'fun'.
10314870,6,5,5,2,6,I understand that,Score (6/10) reflects dense usage of Neuroticism markers like 'i'.
10317326,3,6,4,4,6,"yes, i know",Score (6/10) reflects dense usage of Neuroticism markers like 'i'.
10318720,7,2,2,3,7,Do you worry about dying a lot,"Score (7/10) reflects dense usage of Neuroticism markers like 'dying, worry, i'."
10319013,4,4,3,3,6,I just finished like my fifth playthrough...,"Score (6/10) reflects dense usage of Neuroticism markers like 'my, i'."
10320108,4,6,4,2,5,I don't think it's the love of money...,Score (6/10) reflects dense usage of Conscientiousness markers like 'money'.
10331151,4,1,7,2,7,Yes I do,Score (7/10) reflects dense usage of Neuroticism markers like 'i'.
10332599,3,5,4,5,8,Oh my I can definitely relate to that,"Score (8/10) reflects dense usage of Neuroticism markers like 'my, i'."
10332661,3,4,4,4,5,I meditate It can't hurt For several years,"Score (5/10) reflects dense usage of Neuroticism markers like 'i, me, hurt'."
10333863,3,2,8,6,7,Should we talk about something else,"Score (8/10) reflects dense usage of Extroversion markers like 'hi, we, talk'."
10333977,9,2,5,1,6,Do you read,Score (9/10) reflects dense usage of Openness markers like 'read'.
10334514,2,6,6,2,5,I lead a group of men and have to meet a meet up,"Score (6/10) reflects dense usage of Extroversion markers like 'meet, group'."
10346871,3,5,4,3,6,I tell myself that all the time,"Score (6/10) reflects dense usage of Neuroticism markers like 'myself, my, i'."
10347192,4,3,3,4,4,I do know,Score (4/10) reflects dense usage of Neuroticism markers like 'i'.
10348325,2,3,3,3,8,"oh , that is totally fine then , nah...","Score (8/10) reflects dense usage of Neuroticism markers like 'my, i, me'."
10351970,5,2,2,5,5,"Yes, I agree",Score (5/10) reflects dense usage of Neuroticism markers like 'i'.
10358415,5,4,5,3,5,I can't wait,Score (5/10) reflects dense usage of Neuroticism markers like 'i'.
10367266,5,7,5,4,8,I'm doing okay I talked with Pat before,Score (8/10) reflects dense usage of Neuroticism markers like 'i'.
