Participant_ID,Openness,Conscientiousness,Extroversion,Agreeableness,Neuroticism,Primary Evidence (Quote),Reasoning Summary
77117,10,1,7,8,2,"""Yes, I do; I just would prefer to read""",High Openness (10/10). Density of relevant terms: 11.1%.
81053,1,3,2,7,3,"""who knows maybe i might like it; any suggestions; yeah that sounds good; yeah you should try it t...""",High Agreeableness (7/10). Density of relevant terms: 2.8%.
82305,5,2,4,3,6,"""whats in there now; im thinking about the fact that i probably need to buy a new charger cause mi...""",High Neuroticism (6/10). Density of relevant terms: 7.3%.
83111,9,10,9,9,10,"""I think is work; Yes, workload, trying to meet up with the company demand and so on; Well… I trie...""",High Conscientiousness (10/10). Density of relevant terms: 2.4%.
83220,7,3,5,3,6,"""I haven't thought about that, but I thought about writing a novel and then trying to create pixel...""",High Openness (7/10). Density of relevant terms: 7.7%.
84409,2,4,10,6,1,"""Would you rather go to a dinner party or go to a club; Would you rather go to a dinner party or...""",High Extraversion (10/10). Density of relevant terms: 4.3%.
87091,7,5,10,10,1,"""if people are to let the blindfold off we can see that nobody actually have this life figured out""",High Extraversion (10/10). Density of relevant terms: 4.8%.
87842,2,4,9,9,1,"""Yes we usually end up having fun, and keeping out of bother""",High Extraversion (9/10). Density of relevant terms: 3.6%.
88009,8,5,1,4,9,"""No, I don't; I read all her works; Austen is one of my favorites, but I do read other classic a...""",High Neuroticism (9/10). Density of relevant terms: 10.0%.
88147,1,10,10,7,3,"""We are just 2 month behind now; Yes you and me both; Nope a lot more work, and a lot more time; Y...""",High Conscientiousness (10/10). Density of relevant terms: 2.1%.
89703,4,9,4,10,10,"""Yes I will be meeting up with my partner to go for a meal in an Italian restaurant; I'll decide...""",High Agreeableness (10/10). Density of relevant terms: 6.2%.
91115,9,7,5,4,8,"""She's really under rated but her music is really powerful; I think my favorite album is called fa...""",High Openness (9/10). Density of relevant terms: 9.2%.
91981,9,10,2,4,5,"""There are human beings who feel like this and it could lead them to harm; I think some people do ...""",High Conscientiousness (10/10). Density of relevant terms: 1.6%.
92241,8,7,2,3,10,"""If I'm overwhelmed by my routines I tend to do less; I could never""",High Neuroticism (10/10). Density of relevant terms: 11.0%.
94161,7,8,2,4,5,"""all the time; too many times ive done that; well im not really into pvp so i prefer singleplaye...""",High Conscientiousness (8/10). Density of relevant terms: 1.0%.
94659,4,2,7,7,9,"""I havent been to those places as I dont like to travel I have only been to belgium and france and...""",High Neuroticism (9/10). Density of relevant terms: 9.1%.
95066,10,4,1,5,6,"""Mostly I just keep those thoughts in my head, but sometimes, when something really sticks with ...""",High Openness (10/10). Density of relevant terms: 10.2%.
95835,6,6,2,2,6,"""Troll 2 is pretty good, I prefer the Leprechaun series though Warwick Davis is awesome; Or admit ...""",High Openness (6/10). Density of relevant terms: 7.3%.
98498,3,6,8,5,5,"""I think some people just care so little about other people, they do whatever they want, even if i...""",High Extraversion (8/10). Density of relevant terms: 2.4%.
98860,4,7,5,3,3,"""Have there ever been a time when things didn't work out and you wish you would have acted sooner ...""",High Conscientiousness (7/10). Density of relevant terms: 1.0%.
99496,10,3,3,6,9,"""I love going outside when it's nice, it's the best time to do it I think""",High Openness (10/10). Density of relevant terms: 9.8%.
