bot_name_1,bot_name_2,chat_1,chat_2,order,participant_ID,participant_num
Alex,Pat,inverse,mirror,2,35669,83
Pat,Alex,mirror,inverse,1,50861,84
Pat,Alex,mirror,inverse,1,23429,85
Alex,Pat,inverse,mirror,2,31398,86
Alex,Pat,inverse,mirror,2,22826,87
Pat,Alex,mirror,inverse,1,89703,88
Pat,Alex,mirror,inverse,1,30122,89
Alex,Pat,inverse,mirror,2,41788,90
Alex,Pat,inverse,mirror,2,94659,91
Pat,Alex,mirror,inverse,1,41384,92
Pat,Alex,mirror,inverse,1,39320,93
Alex,Pat,inverse,mirror,2,99927,94
Alex,Pat,inverse,mirror,2,84409,95
Pat,Alex,mirror,inverse,1,99496,96
Pat,Alex,mirror,inverse,1,16379,97
Alex,Pat,inverse,mirror,2,22306,98
Pat,Alex,mirror,inverse,1,55599,99
Pat,Alex,inverse,mirror,2,26627,100
Alex,Pat,mirror,inverse,1,38794,101
Pat,Alex,inverse,mirror,2,43118,102
Alex,Pat,mirror,inverse,1,42229,103
Pat,Alex,inverse,mirror,2,69820,104
Alex,Pat,mirror,inverse,1,48354,105
Pat,Alex,inverse,mirror,2,27008,106
Pat,Alex,inverse,mirror,2,17304,107
Alex,Pat,mirror,inverse,1,49157,108
Pat,Alex,inverse,mirror,2,65534,109
Alex,Pat,mirror,inverse,1,59088,110
Pat,Alex,inverse,mirror,2,33270,111
Alex,Pat,mirror,inverse,1,62828,112
Alex,Pat,mirror,inverse,1,47804,113
Pat,Alex,inverse,mirror,2,72626,114
Pat,Alex,inverse,mirror,2,33211,115
Alex,Pat,mirror,inverse,1,16234,116
Alex,Pat,mirror,inverse,1,53025,117
Pat,Alex,inverse,mirror,2,54409,118
Pat,Alex,inverse,mirror,2,63854,119
Alex,Pat,mirror,inverse,1,42863,120
Alex,Pat,mirror,inverse,1,46711,121
Pat,Alex,inverse,mirror,2,70424,122
Pat,Alex,inverse,mirror,2,41919,123
Alex,Pat,mirror,inverse,1,50862,124
Pat,Alex,inverse,mirror,2,83485,125
Alex,Pat,mirror,inverse,1,18724,126
Pat,Alex,inverse,mirror,2,71591,127
Alex,Pat,mirror,inverse,1,71920,128
Alex,Pat,mirror,inverse,1,37559,129
Pat,Alex,inverse,mirror,2,87091,130
Pat,Alex,inverse,mirror,2,67900,131
Alex,Pat,mirror,inverse,1,78821,132
Pat,Alex,inverse,mirror,2,40377,133
Alex,Pat,mirror,inverse,1,94161,134
Alex,Pat,mirror,inverse,1,37239,135
Pat,Alex,inverse,mirror,2,63396,136
Alex,Pat,mirror,inverse,1,10978,137
Pat,Alex,inverse,mirror,2,85186,138
Alex,Pat,mirror,inverse,1,87842,139
Pat,Alex,inverse,mirror,2,43294,140
Alex,Pat,mirror,inverse,1,37703,141
Pat,Alex,inverse,mirror,2,54761,142
Pat,Alex,inverse,mirror,2,50895,143
Alex,Pat,mirror,inverse,1,39836,144
Alex,Pat,mirror,inverse,1,23873,145
Pat,Alex,inverse,mirror,2,91772,146
