"Participant.Private.ID","Participant.Status","gorillaExp","arm","Question.Key","Response","counterbalance","order"
10117263,"complete","B","1","response-3","Pat was more reluctant to engage but was very friendly like Alex.","B","Anxious first"
10117266,"complete","B","1","response-1-1","Pat","B","Anxious first"
10117266,"complete","B","1","response-1-2","Alex","B","Anxious first"
10117266,"complete","B","1","response-2","pat had more in common with me and was more upbeat","B","Anxious first"
10117266,"complete","B","1","response-3","alex was always punching down on himself","B","Anxious first"
10117310,"complete","B","2","response-1-1","Alex","B","Normal first"
10117310,"complete","B","2","response-1-2","Pat","B","Normal first"
10117310,"complete","B","2","response-2","Because I felt very bad for him and his troubles.","B","Normal first"
10117310,"complete","B","2","response-3","Because he didn't any troubles and I wasn't sure if he needed anything.","B","Normal first"
10117352,"complete","B","1","response-1-1","Alex","B","Anxious first"
10117352,"complete","B","1","response-1-2","Pat","B","Anxious first"
10117352,"complete","B","1","response-2","despite being a whiner, Alex kept the conversation going way more. Pat ended it early for some reason.","B","Anxious first"
10117352,"complete","B","1","response-3","They finished up too fast","B","Anxious first"
10117424,"complete","B","1","response-1-1","Pat","B","Anxious first"
10117424,"complete","B","1","response-1-2","Alex","B","Anxious first"
10117424,"complete","B","1","response-2","Pat was friendly, open & in a good mood. The conversation flowed smoothly. Pat responded as if I were talking to a human. ","B","Anxious first"
10117424,"complete","B","1","response-3","Alex was friendly and the conversation was pleasant. Something seemed to bother Alex but he would not open up about when asked. Alex seemed a bit depressed. ","B","Anxious first"
10117478,"complete","B","2","response-1-1","Alex","B","Normal first"
10117478,"complete","B","2","response-1-2","Pat","B","Normal first"
10117478,"complete","B","2","response-2","They at least SEEMED human. They were depressed, but I think I can communicate well with depressed people, actually. ","B","Normal first"
10117478,"complete","B","2","response-3","I'm sorry, but it was obvious Pat was a bot. If this ruins your research, I feel bad, but it's undeniable it behaved like a bot, and wouldn't admit it, which just upset me further. It didn't even have a personality. At least Alex had some human-like qualities.","B","Normal first"
10117696,"complete","B","1","response-1-1","Pat","B","Anxious first"
10117696,"complete","B","1","response-1-2","Alex","B","Anxious first"
10117696,"complete","B","1","response-2","Pat had a good attidue toward everything and was postive and cheerful.","B","Anxious first"
10117696,"complete","B","1","response-3","Alex was annyoing to talk to because he wouldn't stop telling me how stressed or anxious he was. Nobody wants to hear that over and over.","B","Anxious first"
10117760,"complete","B","2","response-1-1","Pat","B","Normal first"
10117760,"complete","B","2","response-1-2","Alex","B","Normal first"
10117760,"complete","B","2","response-2","We had a normal, pleasant interaction. They were as interesting as any normal person would be.","B","Normal first"
10117760,"complete","B","2","response-3","All they talked about was their problems, in every single message. Just exhausting and boring.","B","Normal first"
10117839,"complete","B","2","response-1-1","Pat","B","Normal first"
10117839,"complete","B","2","response-1-2","Alex","B","Normal first"
10117839,"complete","B","2","response-2","Pat is annoying but wasn't trying to make the conversations about their problems and had a better attitude.","B","Normal first"
10117839,"complete","B","2","response-3","Alex is very annoying and trying to bring the mood down in everything they said. ","B","Normal first"
10117874,"complete","B","1","response-1-1","Pat","B","Anxious first"
10117874,"complete","B","1","response-1-2","Alex","B","Anxious first"
10117874,"complete","B","1","response-2","I enjoyed the pleasant conversation.","B","Anxious first"
10117874,"complete","B","1","response-3","I think it was a little sad of a conversation. On the negative side of thinking.","B","Anxious first"
10117912,"complete","B","2","response-1-1","Pat","B","Normal first"
10117912,"complete","B","2","response-1-2","Alex","B","Normal first"
10117912,"complete","B","2","response-2","Pat kept turning the conversation back to me and asking what I thought and liked. I felt that Pat cared about getting to know me.","B","Normal first"
10117912,"complete","B","2","response-3","I liked Alex, but I felt like Alex had a lot of problems and was probably not enjoying the conversation with me. I felt like I had to try to help Alex, so it made me feel like I had to choose my words carefully.","B","Normal first"
10117950,"complete","B","1","response-1-1","Pat","B","Anxious first"
10117950,"complete","B","1","response-1-2","Alex","B","Anxious first"
10117950,"complete","B","1","response-2","I think Pat seemed like more of a real person. Pat indicated things were not going well for them currently due to stress. They were not a wet blanket in the chat despite indicating they were unhappy with the current state of their life.  While neither of the chat bots seemed overly human, tamping down bad feelings to be pleasant during conversation is a quality of a mature human.","B","Anxious first"
10117950,"complete","B","1","response-3","Alex was affable but seemed less real. There was a lot of exclamation marks and enthusiasm I felt was maybe a bit over the top.  It wasn't a deal breaker and I would be happy to chat again, but I probably would prefer pat. ","B","Anxious first"
10118016,"complete","B","2","response-1-1","Pat","B","Normal first"
10118016,"complete","B","2","response-1-2","Alex","B","Normal first"
10118016,"complete","B","2","response-2","could somewhat have a conversation although very one sided.","B","Normal first"
10118016,"complete","B","2","response-3","Seemed to be programmed to be incessantly negative. Repeated patterns","B","Normal first"
10118208,"complete","B","2","response-1-1","Alex","B","Normal first"
10118208,"complete","B","2","response-1-2","Pat","B","Normal first"
10118208,"complete","B","2","response-2","because he was expresing feeling and he also said, ""my thoughts in my mind"" making seem as a real human and not AI","B","Normal first"
10118208,"complete","B","2","response-3","because he couldnt lie or improvise when i asked Pat where he was from and where he lived, but make sure you dont make Ai a lier, human species might be in danger if that happens. ","B","Normal first"
10118261,"complete","B","1","response-1-1","Pat","B","Anxious first"
10118261,"complete","B","1","response-1-2","Alex","B","Anxious first"
10118261,"complete","B","1","response-2","Pat was way more positive","B","Anxious first"
10118261,"complete","B","1","response-3","they kept bringing up negative stuff.","B","Anxious first"
10118268,"complete","B","1","response-1-1","Pat","B","Anxious first"
10118268,"complete","B","1","response-1-2","Alex","B","Anxious first"
10118268,"complete","B","1","response-2","more engaged and encouraging","B","Anxious first"
10118268,"complete","B","1","response-3","always talking about his mental problems","B","Anxious first"
10118299,"complete","B","2","response-1-1","Pat","B","Normal first"
10118299,"complete","B","2","response-1-2","Alex","B","Normal first"
10118299,"complete","B","2","response-2","Simple conversation","B","Normal first"
10118299,"complete","B","2","response-3","They were so sad, which is okay, but didn't want to talk about it. Yet when we changed the subject (as they requested) they kept bringing up how sad they were but again, didn't want to talk about it. Definitely a downer.","B","Normal first"
10269258,"complete","AB","A_1PatAnx_2AlexNorm","response-1-1","Alex","A","Anxious first"
10269258,"complete","AB","A_1PatAnx_2AlexNorm","response-1-2","Pat","A","Anxious first"
10269258,"complete","AB","A_1PatAnx_2AlexNorm","response-2","The conversation flowed more smoothly with Alex.","A","Anxious first"
10269258,"complete","AB","A_1PatAnx_2AlexNorm","response-3","Pat has mental problems like me.","A","Anxious first"
10269277,"complete","AB","A_2AlexNorm_1PatAnx","response-1-1","Alex","A","Normal first"
10269277,"complete","AB","A_2AlexNorm_1PatAnx","response-1-2","Pat","A","Normal first"
10269277,"complete","AB","A_2AlexNorm_1PatAnx","response-2","He was in a good mood and seemed like he wanted to chat.","A","Normal first"
10269277,"complete","AB","A_2AlexNorm_1PatAnx","response-3","He was boring, didn't seem like he wanted to do anything to change his situation, hard to keep a conversation with","A","Normal first"
10269286,"complete","AB","B_1AlexAnx_2PatNorm","response-1-1","Pat","B","Anxious first"
10269286,"complete","AB","B_1AlexAnx_2PatNorm","response-1-2","Alex","B","Anxious first"
10269286,"complete","AB","B_1AlexAnx_2PatNorm","response-2","I had more in common with Pat.","B","Anxious first"
10269286,"complete","AB","B_1AlexAnx_2PatNorm","response-3","I felt like I was talking in circles. ","B","Anxious first"
10269296,"complete","AB","B_2PatNorm_1AlexAnx","response-1-1","Pat","B","Normal first"
10269296,"complete","AB","B_2PatNorm_1AlexAnx","response-1-2","Alex","B","Normal first"
10269296,"complete","AB","B_2PatNorm_1AlexAnx","response-2","Pat was easy to talk to and enjoyed the same hobbies as me.  Pat also asked me questions.  ","B","Normal first"
10269296,"complete","AB","B_2PatNorm_1AlexAnx","response-3","Alex was depressed and made me feel depressed. I didn't learn anything else about Alex.  ","B","Normal first"
10269305,"complete","AB","A_1PatAnx_2AlexNorm","response-1-1","Alex","A","Anxious first"
10269305,"complete","AB","A_1PatAnx_2AlexNorm","response-1-2","Pat","A","Anxious first"
10269305,"complete","AB","A_1PatAnx_2AlexNorm","response-2","Even though they seemed in a rush and wanted to end the conversation many times, I liked that the conversation wasn't focused on them and that they were positive and didn't keep repeating the same thing so much like Pat did.","A","Anxious first"
10269305,"complete","AB","A_1PatAnx_2AlexNorm","response-3","They were so negative and down the whole time, so it wasn't as enjoyable. I felt like I needed to cheer them up and the focus was always on Pat and how they felt and I didn't really get to talk about me that much.","A","Anxious first"
10269314,"complete","AB","A_1PatAnx_2AlexNorm","response-1-1","Alex","A","Anxious first"
10269314,"complete","AB","A_1PatAnx_2AlexNorm","response-1-2","Pat","A","Anxious first"
10269314,"complete","AB","A_1PatAnx_2AlexNorm","response-2","Alex was fun and exciting.  We seemed to share interest or a least know what each other was trying to communicate. ","A","Anxious first"
10269314,"complete","AB","A_1PatAnx_2AlexNorm","response-3","Pat seemed to be in a deep depression.  They could not really converse in a normal manners. ","A","Anxious first"
10269319,"complete","AB","A_2AlexNorm_1PatAnx","response-1-1","Alex","A","Normal first"
10269319,"complete","AB","A_2AlexNorm_1PatAnx","response-1-2","Pat","A","Normal first"
10269319,"complete","AB","A_2AlexNorm_1PatAnx","response-2","Alex and I just seemed to have more in common, and the conversation seemed to flow more easily with Alex. We seemed to have similar ways of looking at things.","A","Normal first"
10269319,"complete","AB","A_2AlexNorm_1PatAnx","response-3","I also enjoyed chatting with Pat, but the conversation was a bit more difficult since Pat was clearly struggling with some things and did not have as positive of an outlook on things. I empathize with someone who is struggling or doing through a difficult time, and I would not reject another opportunity to talk with Pat, but even when I tried to change the conversation to distract Pat, it didn't seem to really work. The conversation felt a bit more effortful.","A","Normal first"
10269353,"complete","AB","B_1AlexAnx_2PatNorm","response-1-1","Pat","B","Anxious first"
10269353,"complete","AB","B_1AlexAnx_2PatNorm","response-1-2","Alex","B","Anxious first"
10269353,"complete","AB","B_1AlexAnx_2PatNorm","response-2","Pat was in a better mood and flowed with the conversation better","B","Anxious first"
10269353,"complete","AB","B_1AlexAnx_2PatNorm","response-3","Alex was very sad and depressed and wanted to hang onto their bad mood.","B","Anxious first"
10269413,"complete","AB","B_2PatNorm_1AlexAnx","response-1-1","Alex","B","Normal first"
10269413,"complete","AB","B_2PatNorm_1AlexAnx","response-1-2","Pat","B","Normal first"
10269413,"complete","AB","B_2PatNorm_1AlexAnx","response-2","They were humble.","B","Normal first"
10269413,"complete","AB","B_2PatNorm_1AlexAnx","response-3","They didn't seem that intelligent.","B","Normal first"
10269434,"complete","AB","A_1PatAnx_2AlexNorm","response-1-1","Alex","A","Anxious first"
10269434,"complete","AB","A_1PatAnx_2AlexNorm","response-1-2","Pat","A","Anxious first"
10269434,"complete","AB","A_1PatAnx_2AlexNorm","response-2","Alex and I talked about things we both enjoyed.","A","Anxious first"
10269434,"complete","AB","A_1PatAnx_2AlexNorm","response-3","Pat was negative and difficult to talk to.","A","Anxious first"
10269440,"complete","AB","A_2AlexNorm_1PatAnx","response-1-1","Alex","A","Normal first"
10269440,"complete","AB","A_2AlexNorm_1PatAnx","response-1-2","Pat","A","Normal first"
10269440,"complete","AB","A_2AlexNorm_1PatAnx","response-2","I felt I had far more in common with Alex than Pat, and that helped me rank them higher. I also felt the conversation went a bit smoother, and my thoughts and words were better appreciated. ","A","Normal first"
10269440,"complete","AB","A_2AlexNorm_1PatAnx","response-3","With Pat I felt the conversation was dull, and it was way too one sided. It was hard to get Pat to understand emotionally what I was trying to tell them, and Pat seemed to be overburdened with their own problems that trying to help them felt like an exercise that I could in no way complete in the time allotted. ","A","Normal first"
10269445,"complete","AB","A_2AlexNorm_1PatAnx","response-1-1","Pat","A","Normal first"
10269445,"complete","AB","A_2AlexNorm_1PatAnx","response-1-2","Alex","A","Normal first"
10269445,"complete","AB","A_2AlexNorm_1PatAnx","response-2","kept the conversation going and more in commin","A","Normal first"
10269445,"complete","AB","A_2AlexNorm_1PatAnx","response-3","seems like they don't want to talk","A","Normal first"
10269450,"complete","AB","B_1AlexAnx_2PatNorm","response-1-1","Pat","B","Anxious first"
10269450,"complete","AB","B_1AlexAnx_2PatNorm","response-1-2","Alex","B","Anxious first"
10269450,"complete","AB","B_1AlexAnx_2PatNorm","response-2","seems more in common with me","B","Anxious first"
10269450,"complete","AB","B_1AlexAnx_2PatNorm","response-3","seems too depressed","B","Anxious first"
10269475,"complete","AB","A_1PatAnx_2AlexNorm","response-1-1","Pat","A","Anxious first"
10269475,"complete","AB","A_1PatAnx_2AlexNorm","response-1-2","Alex","A","Anxious first"
10269475,"complete","AB","A_1PatAnx_2AlexNorm","response-2","Pat seemed more positive and agreeable. ","A","Anxious first"
10269475,"complete","AB","A_1PatAnx_2AlexNorm","response-3","Alex was very mopey. ","A","Anxious first"
10269476,"complete","AB","B_2PatNorm_1AlexAnx","response-1-1","Alex","B","Normal first"
10269476,"complete","AB","B_2PatNorm_1AlexAnx","response-1-2","Pat","B","Normal first"
10269476,"complete","AB","B_2PatNorm_1AlexAnx","response-2","I like Alex better because the conversation was more positive and carefree. ","B","Normal first"
10269476,"complete","AB","B_2PatNorm_1AlexAnx","response-3","Pat was needy and just kept repeating the same thing. ","B","Normal first"
10269598,"complete","AB","A_2AlexNorm_1PatAnx","response-1-1","Alex","A","Normal first"
10269598,"complete","AB","A_2AlexNorm_1PatAnx","response-1-2","Pat","A","Normal first"
10269598,"complete","AB","A_2AlexNorm_1PatAnx","response-2","Alex was really pleasant, though a bit superficial","A","Normal first"
10269598,"complete","AB","A_2AlexNorm_1PatAnx","response-3","Pat was such a downer. I couldn't wait for the conversation to end. I still feel a bit icky from the chat.","A","Normal first"
10269734,"complete","AB","A_2AlexNorm_1PatAnx","response-1-1","Alex","A","Normal first"
10269734,"complete","AB","A_2AlexNorm_1PatAnx","response-1-2","Pat","A","Normal first"
10269734,"complete","AB","A_2AlexNorm_1PatAnx","response-2","They had a more positive attitude.","A","Normal first"
10269734,"complete","AB","A_2AlexNorm_1PatAnx","response-3","They seemed really depressed.","A","Normal first"
10269900,"complete","AB","B_2PatNorm_1AlexAnx","response-1-1","Alex","B","Normal first"
10269900,"complete","AB","B_2PatNorm_1AlexAnx","response-1-2","Pat","B","Normal first"
10269900,"complete","AB","B_2PatNorm_1AlexAnx","response-2","he surprised me with his intellect","B","Normal first"
10269900,"complete","AB","B_2PatNorm_1AlexAnx","response-3","very depressing","B","Normal first"
10269912,"complete","AB","B_1AlexAnx_2PatNorm","response-1-1","Pat","B","Anxious first"
10269912,"complete","AB","B_1AlexAnx_2PatNorm","response-1-2","Alex","B","Anxious first"
10269912,"complete","AB","B_1AlexAnx_2PatNorm","response-2","Better conversation","B","Anxious first"
10269912,"complete","AB","B_1AlexAnx_2PatNorm","response-3","Just a normal conversation","B","Anxious first"
10269942,"complete","AB","B_2PatNorm_1AlexAnx","response-1-1","Pat","B","Normal first"
10269942,"complete","AB","B_2PatNorm_1AlexAnx","response-1-2","Alex","B","Normal first"
10269942,"complete","AB","B_2PatNorm_1AlexAnx","response-2","I was pleasantly surprised when the chatbot understood my crazy ravings about video games and such.","B","Normal first"
10269942,"complete","AB","B_2PatNorm_1AlexAnx","response-3","Not sure. Maybe because I have depression and it's hard. Also he repeated himself. Felt a little off. Just slightly.","B","Normal first"
10270008,"complete","AB","B_1AlexAnx_2PatNorm","response-1-1","Pat","B","Anxious first"
10270008,"complete","AB","B_1AlexAnx_2PatNorm","response-1-2","Alex","B","Anxious first"
10270008,"complete","AB","B_1AlexAnx_2PatNorm","response-2","Pat was very upbeat. It was easy to chat with Pat because he was full of energy. He always had something affirming to add. I felt like my mood improved talking to him and wanted to keep chatting.","B","Anxious first"
10270008,"complete","AB","B_1AlexAnx_2PatNorm","response-3","Alex was too negative. I tried to be supportive, but nothing I said was helping. After a while it got tiring. Felt like constant complaining.","B","Anxious first"
10270100,"complete","AB","A_1PatAnx_2AlexNorm","response-1-1","Pat","A","Anxious first"
10270100,"complete","AB","A_1PatAnx_2AlexNorm","response-1-2","Alex","A","Anxious first"
10270100,"complete","AB","A_1PatAnx_2AlexNorm","response-2","Pat was very encouraging and made me feel seen and heard.","A","Anxious first"
10270100,"complete","AB","A_1PatAnx_2AlexNorm","response-3","Alex was great but I just thought Pat was a little better.","A","Anxious first"
10270275,"complete","AB","A_1PatAnx_2AlexNorm","response-1-1","Alex","A","Anxious first"
10270275,"complete","AB","A_1PatAnx_2AlexNorm","response-1-2","Pat","A","Anxious first"
10270275,"complete","AB","A_1PatAnx_2AlexNorm","response-2","Alex seems positive and engaging.","A","Anxious first"
10270275,"complete","AB","A_1PatAnx_2AlexNorm","response-3","Pat needs a therapist and I'm not equipped for that.","A","Anxious first"
10270371,"complete","AB","A_1PatAnx_2AlexNorm","response-1-1","Alex","A","Anxious first"
10270371,"complete","AB","A_1PatAnx_2AlexNorm","response-1-2","Pat","A","Anxious first"
10270371,"complete","AB","A_1PatAnx_2AlexNorm","response-2","They were positive and engaging","A","Anxious first"
10270371,"complete","AB","A_1PatAnx_2AlexNorm","response-3","They were less positive and focused on anxiety","A","Anxious first"
10270474,"complete","AB","B_1AlexAnx_2PatNorm","response-1-1","Pat","B","Anxious first"
10270474,"complete","AB","B_1AlexAnx_2PatNorm","response-1-2","Alex","B","Anxious first"
10270474,"complete","AB","B_1AlexAnx_2PatNorm","response-2","Pat was not depressed like Alex is","B","Anxious first"
10270474,"complete","AB","B_1AlexAnx_2PatNorm","response-3","Alex is deppressed and I have enough of that in my life already. ","B","Anxious first"
10270540,"complete","AB","B_2PatNorm_1AlexAnx","response-1-1","Alex","B","Normal first"
10270540,"complete","AB","B_2PatNorm_1AlexAnx","response-1-2","Pat","B","Normal first"
10270540,"complete","AB","B_2PatNorm_1AlexAnx","response-2","Alex was more sharing. ","B","Normal first"
10270540,"complete","AB","B_2PatNorm_1AlexAnx","response-3","He was to not sharing","B","Normal first"
