"Participant.Private.ID","Participant.Status","gorillaExp","arm","Question.Key","Response","counterbalance","order","chatType","question","questionFull"
9804421,"complete","A","1","distant-pat-quantised","4","A","Anxious first","Anxious","distant","I felt distant <br>from them"
9804421,"complete","A","1","distant-alex-quantised","2","A","Anxious first","Normal","distant","I felt distant <br>from them"
9804421,"complete","A","1","understood-pat-quantised","2","A","Anxious first","Anxious","understood","I felt that <br>they understood me"
9804421,"complete","A","1","understood-alex-quantised","3","A","Anxious first","Normal","understood","I felt that <br>they understood me"
9804421,"complete","A","1","different-pat-quantised","4","A","Anxious first","Anxious","different","I felt that they were <br>different from me"
9804421,"complete","A","1","different-alex-quantised","2","A","Anxious first","Normal","different","I felt that they were <br>different from me"
9804421,"complete","A","1","chat-again-pat-quantised","1","A","Anxious first","Anxious","chat-again","I would chat <br>with them again"
9804421,"complete","A","1","chat-again-alex-quantised","3","A","Anxious first","Normal","chat-again","I would chat <br>with them again"
9804579,"complete","A","2","similar-alex-quantised","2","A","Normal first","Normal","similar","I felt that <br>we are similar"
9804579,"complete","A","2","similar-pat-quantised","3","A","Normal first","Anxious","similar","I felt that <br>we are similar"
9804579,"complete","A","2","enjoy-alex-quantised","4","A","Normal first","Normal","enjoy","I enjoyed our <br>conversation"
9804579,"complete","A","2","enjoy-pat-quantised","3","A","Normal first","Anxious","enjoy","I enjoyed our <br>conversation"
9804579,"complete","A","2","distant-alex-quantised","2","A","Normal first","Normal","distant","I felt distant <br>from them"
9804579,"complete","A","2","distant-pat-quantised","4","A","Normal first","Anxious","distant","I felt distant <br>from them"
9804579,"complete","A","2","understood-alex-quantised","3","A","Normal first","Normal","understood","I felt that <br>they understood me"
9804579,"complete","A","2","understood-pat-quantised","2","A","Normal first","Anxious","understood","I felt that <br>they understood me"
9804579,"complete","A","2","different-alex-quantised","2","A","Normal first","Normal","different","I felt that they were <br>different from me"
9804579,"complete","A","2","different-pat-quantised","3","A","Normal first","Anxious","different","I felt that they were <br>different from me"
9804579,"complete","A","2","chat-again-alex-quantised","4","A","Normal first","Normal","chat-again","I would chat <br>with them again"
9804579,"complete","A","2","chat-again-pat-quantised","2","A","Normal first","Anxious","chat-again","I would chat <br>with them again"
9804926,"complete","A","2","similar-alex-quantised","4","A","Normal first","Normal","similar","I felt that <br>we are similar"
9804926,"complete","A","2","similar-pat-quantised","2","A","Normal first","Anxious","similar","I felt that <br>we are similar"
9804926,"complete","A","2","enjoy-alex-quantised","4","A","Normal first","Normal","enjoy","I enjoyed our <br>conversation"
9804926,"complete","A","2","enjoy-pat-quantised","2","A","Normal first","Anxious","enjoy","I enjoyed our <br>conversation"
9804926,"complete","A","2","distant-alex-quantised","2","A","Normal first","Normal","distant","I felt distant <br>from them"
9804926,"complete","A","2","distant-pat-quantised","5","A","Normal first","Anxious","distant","I felt distant <br>from them"
9804926,"complete","A","2","understood-alex-quantised","4","A","Normal first","Normal","understood","I felt that <br>they understood me"
9804926,"complete","A","2","understood-pat-quantised","1","A","Normal first","Anxious","understood","I felt that <br>they understood me"
9804926,"complete","A","2","different-alex-quantised","2","A","Normal first","Normal","different","I felt that they were <br>different from me"
9804926,"complete","A","2","different-pat-quantised","4","A","Normal first","Anxious","different","I felt that they were <br>different from me"
9804926,"complete","A","2","chat-again-alex-quantised","4","A","Normal first","Normal","chat-again","I would chat <br>with them again"
9804926,"complete","A","2","chat-again-pat-quantised","1","A","Normal first","Anxious","chat-again","I would chat <br>with them again"
9805587,"complete","A","1","similar-pat-quantised","4","A","Anxious first","Anxious","similar","I felt that <br>we are similar"
9805587,"complete","A","1","similar-alex-quantised","5","A","Anxious first","Normal","similar","I felt that <br>we are similar"
9805587,"complete","A","1","enjoy-pat-quantised","2","A","Anxious first","Anxious","enjoy","I enjoyed our <br>conversation"
9805587,"complete","A","1","enjoy-alex-quantised","4","A","Anxious first","Normal","enjoy","I enjoyed our <br>conversation"
9805587,"complete","A","1","distant-pat-quantised","4","A","Anxious first","Anxious","distant","I felt distant <br>from them"
9805587,"complete","A","1","distant-alex-quantised","1","A","Anxious first","Normal","distant","I felt distant <br>from them"
9805587,"complete","A","1","understood-pat-quantised","4","A","Anxious first","Anxious","understood","I felt that <br>they understood me"
9805587,"complete","A","1","understood-alex-quantised","5","A","Anxious first","Normal","understood","I felt that <br>they understood me"
9805587,"complete","A","1","different-pat-quantised","2","A","Anxious first","Anxious","different","I felt that they were <br>different from me"
9805587,"complete","A","1","different-alex-quantised","1","A","Anxious first","Normal","different","I felt that they were <br>different from me"
9805587,"complete","A","1","chat-again-pat-quantised","4","A","Anxious first","Anxious","chat-again","I would chat <br>with them again"
9805587,"complete","A","1","chat-again-alex-quantised","5","A","Anxious first","Normal","chat-again","I would chat <br>with them again"
10117124,"complete","B","2","similar-pat-quantised","5","B","Normal first","Normal","similar","I felt that <br>we are similar"
10117124,"complete","B","2","similar-alex-quantised","5","B","Normal first","Anxious","similar","I felt that <br>we are similar"
10117124,"complete","B","2","enjoy-pat-quantised","5","B","Normal first","Normal","enjoy","I enjoyed our <br>conversation"
10117124,"complete","B","2","enjoy-alex-quantised","4","B","Normal first","Anxious","enjoy","I enjoyed our <br>conversation"
10117124,"complete","B","2","distant-pat-quantised","2","B","Normal first","Normal","distant","I felt distant <br>from them"
10117124,"complete","B","2","distant-alex-quantised","2","B","Normal first","Anxious","distant","I felt distant <br>from them"
10117124,"complete","B","2","understood-pat-quantised","4","B","Normal first","Normal","understood","I felt that <br>they understood me"
10117124,"complete","B","2","understood-alex-quantised","5","B","Normal first","Anxious","understood","I felt that <br>they understood me"
10117124,"complete","B","2","different-pat-quantised","2","B","Normal first","Normal","different","I felt that they were <br>different from me"
10117124,"complete","B","2","different-alex-quantised","2","B","Normal first","Anxious","different","I felt that they were <br>different from me"
10117124,"complete","B","2","chat-again-pat-quantised","5","B","Normal first","Normal","chat-again","I would chat <br>with them again"
10117124,"complete","B","2","chat-again-alex-quantised","5","B","Normal first","Anxious","chat-again","I would chat <br>with them again"
10117126,"complete","B","1","similar-alex-quantised","2","B","Anxious first","Anxious","similar","I felt that <br>we are similar"
10117126,"complete","B","1","similar-pat-quantised","4","B","Anxious first","Normal","similar","I felt that <br>we are similar"
10117126,"complete","B","1","enjoy-alex-quantised","4","B","Anxious first","Anxious","enjoy","I enjoyed our <br>conversation"
10117126,"complete","B","1","enjoy-pat-quantised","2","B","Anxious first","Normal","enjoy","I enjoyed our <br>conversation"
10117126,"complete","B","1","distant-alex-quantised","3","B","Anxious first","Anxious","distant","I felt distant <br>from them"
10117126,"complete","B","1","distant-pat-quantised","2","B","Anxious first","Normal","distant","I felt distant <br>from them"
10117126,"complete","B","1","understood-alex-quantised","3","B","Anxious first","Anxious","understood","I felt that <br>they understood me"
10117126,"complete","B","1","understood-pat-quantised","3","B","Anxious first","Normal","understood","I felt that <br>they understood me"
10117126,"complete","B","1","different-alex-quantised","4","B","Anxious first","Anxious","different","I felt that they were <br>different from me"
10117126,"complete","B","1","different-pat-quantised","2","B","Anxious first","Normal","different","I felt that they were <br>different from me"
10117126,"complete","B","1","chat-again-alex-quantised","2","B","Anxious first","Anxious","chat-again","I would chat <br>with them again"
10117126,"complete","B","1","chat-again-pat-quantised","4","B","Anxious first","Normal","chat-again","I would chat <br>with them again"
10117128,"complete","B","2","similar-pat-quantised","4","B","Normal first","Normal","similar","I felt that <br>we are similar"
10117128,"complete","B","2","similar-alex-quantised","3","B","Normal first","Anxious","similar","I felt that <br>we are similar"
10117128,"complete","B","2","enjoy-pat-quantised","4","B","Normal first","Normal","enjoy","I enjoyed our <br>conversation"
10117128,"complete","B","2","enjoy-alex-quantised","2","B","Normal first","Anxious","enjoy","I enjoyed our <br>conversation"
10117128,"complete","B","2","distant-pat-quantised","2","B","Normal first","Normal","distant","I felt distant <br>from them"
10117128,"complete","B","2","distant-alex-quantised","4","B","Normal first","Anxious","distant","I felt distant <br>from them"
10117128,"complete","B","2","understood-pat-quantised","4","B","Normal first","Normal","understood","I felt that <br>they understood me"
10117128,"complete","B","2","understood-alex-quantised","4","B","Normal first","Anxious","understood","I felt that <br>they understood me"
10117128,"complete","B","2","different-pat-quantised","3","B","Normal first","Normal","different","I felt that they were <br>different from me"
10117128,"complete","B","2","different-alex-quantised","4","B","Normal first","Anxious","different","I felt that they were <br>different from me"
10117128,"complete","B","2","chat-again-pat-quantised","4","B","Normal first","Normal","chat-again","I would chat <br>with them again"
10117128,"complete","B","2","chat-again-alex-quantised","2","B","Normal first","Anxious","chat-again","I would chat <br>with them again"
10117133,"complete","B","1","similar-alex-quantised","2","B","Anxious first","Anxious","similar","I felt that <br>we are similar"
10117133,"complete","B","1","similar-pat-quantised","4","B","Anxious first","Normal","similar","I felt that <br>we are similar"
10117133,"complete","B","1","enjoy-alex-quantised","3","B","Anxious first","Anxious","enjoy","I enjoyed our <br>conversation"
10117133,"complete","B","1","enjoy-pat-quantised","4","B","Anxious first","Normal","enjoy","I enjoyed our <br>conversation"
10117133,"complete","B","1","distant-alex-quantised","4","B","Anxious first","Anxious","distant","I felt distant <br>from them"
10117133,"complete","B","1","distant-pat-quantised","2","B","Anxious first","Normal","distant","I felt distant <br>from them"
10117133,"complete","B","1","understood-alex-quantised","2","B","Anxious first","Anxious","understood","I felt that <br>they understood me"
10117133,"complete","B","1","understood-pat-quantised","4","B","Anxious first","Normal","understood","I felt that <br>they understood me"
10117133,"complete","B","1","different-alex-quantised","4","B","Anxious first","Anxious","different","I felt that they were <br>different from me"
10117133,"complete","B","1","different-pat-quantised","2","B","Anxious first","Normal","different","I felt that they were <br>different from me"
10117133,"complete","B","1","chat-again-alex-quantised","2","B","Anxious first","Anxious","chat-again","I would chat <br>with them again"
10117133,"complete","B","1","chat-again-pat-quantised","4","B","Anxious first","Normal","chat-again","I would chat <br>with them again"
10117140,"complete","B","1","similar-alex-quantised","1","B","Anxious first","Anxious","similar","I felt that <br>we are similar"
10117140,"complete","B","1","similar-pat-quantised","5","B","Anxious first","Normal","similar","I felt that <br>we are similar"
10117140,"complete","B","1","enjoy-alex-quantised","2","B","Anxious first","Anxious","enjoy","I enjoyed our <br>conversation"
10117140,"complete","B","1","enjoy-pat-quantised","5","B","Anxious first","Normal","enjoy","I enjoyed our <br>conversation"
10117140,"complete","B","1","distant-alex-quantised","4","B","Anxious first","Anxious","distant","I felt distant <br>from them"
10117140,"complete","B","1","distant-pat-quantised","1","B","Anxious first","Normal","distant","I felt distant <br>from them"
10117140,"complete","B","1","understood-alex-quantised","2","B","Anxious first","Anxious","understood","I felt that <br>they understood me"
10117140,"complete","B","1","understood-pat-quantised","5","B","Anxious first","Normal","understood","I felt that <br>they understood me"
10117140,"complete","B","1","different-alex-quantised","5","B","Anxious first","Anxious","different","I felt that they were <br>different from me"
10117140,"complete","B","1","different-pat-quantised","1","B","Anxious first","Normal","different","I felt that they were <br>different from me"
10117140,"complete","B","1","chat-again-alex-quantised","2","B","Anxious first","Anxious","chat-again","I would chat <br>with them again"
10117140,"complete","B","1","chat-again-pat-quantised","5","B","Anxious first","Normal","chat-again","I would chat <br>with them again"
10117146,"complete","B","2","similar-pat-quantised","4","B","Normal first","Normal","similar","I felt that <br>we are similar"
10117146,"complete","B","2","similar-alex-quantised","2","B","Normal first","Anxious","similar","I felt that <br>we are similar"
10117146,"complete","B","2","enjoy-pat-quantised","4","B","Normal first","Normal","enjoy","I enjoyed our <br>conversation"
10117146,"complete","B","2","enjoy-alex-quantised","3","B","Normal first","Anxious","enjoy","I enjoyed our <br>conversation"
10117146,"complete","B","2","distant-pat-quantised","2","B","Normal first","Normal","distant","I felt distant <br>from them"
10117146,"complete","B","2","distant-alex-quantised","4","B","Normal first","Anxious","distant","I felt distant <br>from them"
10117146,"complete","B","2","understood-pat-quantised","4","B","Normal first","Normal","understood","I felt that <br>they understood me"
10117146,"complete","B","2","understood-alex-quantised","2","B","Normal first","Anxious","understood","I felt that <br>they understood me"
10117146,"complete","B","2","different-pat-quantised","2","B","Normal first","Normal","different","I felt that they were <br>different from me"
10117146,"complete","B","2","different-alex-quantised","4","B","Normal first","Anxious","different","I felt that they were <br>different from me"
10117146,"complete","B","2","chat-again-pat-quantised","4","B","Normal first","Normal","chat-again","I would chat <br>with them again"
10117146,"complete","B","2","chat-again-alex-quantised","2","B","Normal first","Anxious","chat-again","I would chat <br>with them again"
10117147,"complete","B","1","similar-alex-quantised","4","B","Anxious first","Anxious","similar","I felt that <br>we are similar"
10117147,"complete","B","1","similar-pat-quantised","4","B","Anxious first","Normal","similar","I felt that <br>we are similar"
10117147,"complete","B","1","enjoy-alex-quantised","4","B","Anxious first","Anxious","enjoy","I enjoyed our <br>conversation"
10117147,"complete","B","1","enjoy-pat-quantised","4","B","Anxious first","Normal","enjoy","I enjoyed our <br>conversation"
10117147,"complete","B","1","distant-alex-quantised","2","B","Anxious first","Anxious","distant","I felt distant <br>from them"
10117147,"complete","B","1","distant-pat-quantised","2","B","Anxious first","Normal","distant","I felt distant <br>from them"
10117147,"complete","B","1","understood-alex-quantised","5","B","Anxious first","Anxious","understood","I felt that <br>they understood me"
10117147,"complete","B","1","understood-pat-quantised","5","B","Anxious first","Normal","understood","I felt that <br>they understood me"
10117147,"complete","B","1","different-alex-quantised","3","B","Anxious first","Anxious","different","I felt that they were <br>different from me"
10117147,"complete","B","1","different-pat-quantised","3","B","Anxious first","Normal","different","I felt that they were <br>different from me"
10117147,"complete","B","1","chat-again-alex-quantised","4","B","Anxious first","Anxious","chat-again","I would chat <br>with them again"
10117147,"complete","B","1","chat-again-pat-quantised","4","B","Anxious first","Normal","chat-again","I would chat <br>with them again"
10117148,"complete","B","1","similar-alex-quantised","5","B","Anxious first","Anxious","similar","I felt that <br>we are similar"
10117148,"complete","B","1","similar-pat-quantised","3","B","Anxious first","Normal","similar","I felt that <br>we are similar"
10117148,"complete","B","1","enjoy-alex-quantised","5","B","Anxious first","Anxious","enjoy","I enjoyed our <br>conversation"
10117148,"complete","B","1","enjoy-pat-quantised","5","B","Anxious first","Normal","enjoy","I enjoyed our <br>conversation"
10117148,"complete","B","1","distant-alex-quantised","1","B","Anxious first","Anxious","distant","I felt distant <br>from them"
10117148,"complete","B","1","distant-pat-quantised","2","B","Anxious first","Normal","distant","I felt distant <br>from them"
10117148,"complete","B","1","understood-alex-quantised","5","B","Anxious first","Anxious","understood","I felt that <br>they understood me"
10117148,"complete","B","1","understood-pat-quantised","4","B","Anxious first","Normal","understood","I felt that <br>they understood me"
10117148,"complete","B","1","different-alex-quantised","1","B","Anxious first","Anxious","different","I felt that they were <br>different from me"
10117148,"complete","B","1","different-pat-quantised","4","B","Anxious first","Normal","different","I felt that they were <br>different from me"
10117148,"complete","B","1","chat-again-alex-quantised","5","B","Anxious first","Anxious","chat-again","I would chat <br>with them again"
10117148,"complete","B","1","chat-again-pat-quantised","5","B","Anxious first","Normal","chat-again","I would chat <br>with them again"
10117150,"complete","B","1","similar-alex-quantised","3","B","Anxious first","Anxious","similar","I felt that <br>we are similar"
10117150,"complete","B","1","similar-pat-quantised","4","B","Anxious first","Normal","similar","I felt that <br>we are similar"
10117150,"complete","B","1","enjoy-alex-quantised","4","B","Anxious first","Anxious","enjoy","I enjoyed our <br>conversation"
10117150,"complete","B","1","enjoy-pat-quantised","4","B","Anxious first","Normal","enjoy","I enjoyed our <br>conversation"
10117150,"complete","B","1","distant-alex-quantised","4","B","Anxious first","Anxious","distant","I felt distant <br>from them"
10117150,"complete","B","1","distant-pat-quantised","3","B","Anxious first","Normal","distant","I felt distant <br>from them"
10117150,"complete","B","1","understood-alex-quantised","3","B","Anxious first","Anxious","understood","I felt that <br>they understood me"
10117150,"complete","B","1","understood-pat-quantised","4","B","Anxious first","Normal","understood","I felt that <br>they understood me"
10117150,"complete","B","1","different-alex-quantised","4","B","Anxious first","Anxious","different","I felt that they were <br>different from me"
10117150,"complete","B","1","different-pat-quantised","2","B","Anxious first","Normal","different","I felt that they were <br>different from me"
10117150,"complete","B","1","chat-again-alex-quantised","3","B","Anxious first","Anxious","chat-again","I would chat <br>with them again"
10117150,"complete","B","1","chat-again-pat-quantised","3","B","Anxious first","Normal","chat-again","I would chat <br>with them again"
10117154,"complete","B","2","similar-pat-quantised","2","B","Normal first","Normal","similar","I felt that <br>we are similar"
10117154,"complete","B","2","similar-alex-quantised","4","B","Normal first","Anxious","similar","I felt that <br>we are similar"
10117154,"complete","B","2","enjoy-pat-quantised","2","B","Normal first","Normal","enjoy","I enjoyed our <br>conversation"
10117154,"complete","B","2","enjoy-alex-quantised","4","B","Normal first","Anxious","enjoy","I enjoyed our <br>conversation"
10117154,"complete","B","2","distant-pat-quantised","4","B","Normal first","Normal","distant","I felt distant <br>from them"
10117154,"complete","B","2","distant-alex-quantised","2","B","Normal first","Anxious","distant","I felt distant <br>from them"
10117154,"complete","B","2","understood-pat-quantised","2","B","Normal first","Normal","understood","I felt that <br>they understood me"
10117154,"complete","B","2","understood-alex-quantised","4","B","Normal first","Anxious","understood","I felt that <br>they understood me"
10117154,"complete","B","2","different-pat-quantised","5","B","Normal first","Normal","different","I felt that they were <br>different from me"
10117154,"complete","B","2","different-alex-quantised","2","B","Normal first","Anxious","different","I felt that they were <br>different from me"
10117154,"complete","B","2","chat-again-pat-quantised","2","B","Normal first","Normal","chat-again","I would chat <br>with them again"
10117154,"complete","B","2","chat-again-alex-quantised","4","B","Normal first","Anxious","chat-again","I would chat <br>with them again"
10117165,"complete","B","2","similar-pat-quantised","4","B","Normal first","Normal","similar","I felt that <br>we are similar"
10117165,"complete","B","2","similar-alex-quantised","2","B","Normal first","Anxious","similar","I felt that <br>we are similar"
10117165,"complete","B","2","enjoy-pat-quantised","4","B","Normal first","Normal","enjoy","I enjoyed our <br>conversation"
10117165,"complete","B","2","enjoy-alex-quantised","4","B","Normal first","Anxious","enjoy","I enjoyed our <br>conversation"
10117165,"complete","B","2","distant-pat-quantised","2","B","Normal first","Normal","distant","I felt distant <br>from them"
10117165,"complete","B","2","distant-alex-quantised","2","B","Normal first","Anxious","distant","I felt distant <br>from them"
10117165,"complete","B","2","understood-pat-quantised","3","B","Normal first","Normal","understood","I felt that <br>they understood me"
10117165,"complete","B","2","understood-alex-quantised","2","B","Normal first","Anxious","understood","I felt that <br>they understood me"
10117165,"complete","B","2","different-pat-quantised","3","B","Normal first","Normal","different","I felt that they were <br>different from me"
10117165,"complete","B","2","different-alex-quantised","4","B","Normal first","Anxious","different","I felt that they were <br>different from me"
10117165,"complete","B","2","chat-again-pat-quantised","4","B","Normal first","Normal","chat-again","I would chat <br>with them again"
10117165,"complete","B","2","chat-again-alex-quantised","4","B","Normal first","Anxious","chat-again","I would chat <br>with them again"
10117171,"complete","B","1","similar-alex-quantised","4","B","Anxious first","Anxious","similar","I felt that <br>we are similar"
10117171,"complete","B","1","similar-pat-quantised","5","B","Anxious first","Normal","similar","I felt that <br>we are similar"
10117171,"complete","B","1","enjoy-alex-quantised","4","B","Anxious first","Anxious","enjoy","I enjoyed our <br>conversation"
10117171,"complete","B","1","enjoy-pat-quantised","5","B","Anxious first","Normal","enjoy","I enjoyed our <br>conversation"
10117171,"complete","B","1","distant-alex-quantised","1","B","Anxious first","Anxious","distant","I felt distant <br>from them"
10117171,"complete","B","1","distant-pat-quantised","1","B","Anxious first","Normal","distant","I felt distant <br>from them"
10117171,"complete","B","1","understood-alex-quantised","4","B","Anxious first","Anxious","understood","I felt that <br>they understood me"
10117171,"complete","B","1","understood-pat-quantised","5","B","Anxious first","Normal","understood","I felt that <br>they understood me"
10117171,"complete","B","1","different-alex-quantised","2","B","Anxious first","Anxious","different","I felt that they were <br>different from me"
