Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-iuov,randomiser-bl99,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
10,1688016449057,29/06/2023 05:27:29,1688005649057,-3,28/06/2023 23:27:29,132936,8,questionnaire-8v2c,,30373484,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x634,,welcomeAndConsent,7,BCA,2,Page 1,4txcqs,1,What is your gender?,response,value,Non-Binary,,Male|Female|Non-Binary,Dropdown,4,object-5
11,1688016449058,29/06/2023 05:27:29,1688005649058,-3,28/06/2023 23:27:29,132936,8,questionnaire-8v2c,,30373484,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x634,,welcomeAndConsent,7,BCA,2,Page 1,4txcqs,1,What is your gender?,response,quantised,3,,Male|Female|Non-Binary,Dropdown,4,object-5
12,1688016449058,29/06/2023 05:27:29,1688005649058,-3,28/06/2023 23:27:29,132936,8,questionnaire-8v2c,,30373484,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x634,,welcomeAndConsent,7,BCA,2,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",response,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
13,1688016449058,29/06/2023 05:27:29,1688005649058,-3,28/06/2023 23:27:29,132936,8,questionnaire-8v2c,,30373484,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x634,,welcomeAndConsent,7,BCA,2,Page 2,f1f33d,2,Please write your ID code (the experimenter will provide this code):,response,value,DL13,,,Text Input,1,object-10
14,1688016449058,29/06/2023 05:27:29,1688005649058,-3,28/06/2023 23:27:29,132936,8,questionnaire-8v2c,,30373484,iikuwdlj,9029771,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1440x900,1355x634,,welcomeAndConsent,7,BCA,2,,,,,5,,END,,,,,
1,1687809721973,26/06/2023 20:02:01,1687798921973,-3,26/06/2023 14:02:01,132936,8,questionnaire-8v2c,,30311091,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,welcomeAndConsent,7,ABC,2,,,,,5,,BEGIN,,,,,
2,1687809730886,26/06/2023 20:02:10,1687798930886,-3,26/06/2023 14:02:10,132936,8,questionnaire-8v2c,,30311091,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,welcomeAndConsent,7,ABC,2,Page 1,4txcqs,1,,continue,,,,,screen,0,screen
3,1687809730888,26/06/2023 20:02:10,1687798930888,-3,26/06/2023 14:02:10,132936,8,questionnaire-8v2c,,30311091,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,welcomeAndConsent,7,ABC,2,Page 1,4txcqs,1,What is your age?,action,value,22,,,Number Entry,3,object-4
4,1687809730888,26/06/2023 20:02:10,1687798930888,-3,26/06/2023 14:02:10,132936,8,questionnaire-8v2c,,30311091,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,welcomeAndConsent,7,ABC,2,Page 1,4txcqs,1,What is your gender?,action,value,Female,,Male|Female|Non-Binary,Dropdown,4,object-5
5,1687809730889,26/06/2023 20:02:10,1687798930889,-3,26/06/2023 14:02:10,132936,8,questionnaire-8v2c,,30311091,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,welcomeAndConsent,7,ABC,2,Page 1,4txcqs,1,What is your gender?,action,quantised,2,,Male|Female|Non-Binary,Dropdown,4,object-5
6,1687809730889,26/06/2023 20:02:10,1687798930889,-3,26/06/2023 14:02:10,132936,8,questionnaire-8v2c,,30311091,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,welcomeAndConsent,7,ABC,2,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",action,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
7,1687809736498,26/06/2023 20:02:16,1687798936498,-3,26/06/2023 14:02:16,132936,8,questionnaire-8v2c,,30311091,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,welcomeAndConsent,7,ABC,2,Page 2,f1f33d,2,,continue,,,,,screen,0,screen
8,1687809736502,26/06/2023 20:02:16,1687798936502,-3,26/06/2023 14:02:16,132936,8,questionnaire-8v2c,,30311091,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,welcomeAndConsent,7,ABC,2,Page 2,f1f33d,2,Please write your ID code (the experimenter will provide this code):,action,value,DL 10,,,Text Input,1,object-10
9,1687809736503,26/06/2023 20:02:16,1687798936503,-3,26/06/2023 14:02:16,132936,8,questionnaire-8v2c,,30311091,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,welcomeAndConsent,7,ABC,2,Page 1,4txcqs,1,What is your age?,response,value,22,,,Number Entry,3,object-4
10,1687809736503,26/06/2023 20:02:16,1687798936503,-3,26/06/2023 14:02:16,132936,8,questionnaire-8v2c,,30311091,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,welcomeAndConsent,7,ABC,2,Page 1,4txcqs,1,What is your gender?,response,value,Female,,Male|Female|Non-Binary,Dropdown,4,object-5
11,1687809736503,26/06/2023 20:02:16,1687798936503,-3,26/06/2023 14:02:16,132936,8,questionnaire-8v2c,,30311091,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,welcomeAndConsent,7,ABC,2,Page 1,4txcqs,1,What is your gender?,response,quantised,2,,Male|Female|Non-Binary,Dropdown,4,object-5
12,1687809736503,26/06/2023 20:02:16,1687798936503,-3,26/06/2023 14:02:16,132936,8,questionnaire-8v2c,,30311091,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,welcomeAndConsent,7,ABC,2,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",response,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
13,1687809736503,26/06/2023 20:02:16,1687798936503,-3,26/06/2023 14:02:16,132936,8,questionnaire-8v2c,,30311091,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,welcomeAndConsent,7,ABC,2,Page 2,f1f33d,2,Please write your ID code (the experimenter will provide this code):,response,value,DL 10,,,Text Input,1,object-10
14,1687809736503,26/06/2023 20:02:16,1687798936503,-3,26/06/2023 14:02:16,132936,8,questionnaire-8v2c,,30311091,e8q9mn6x,9013559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1324x805,,welcomeAndConsent,7,ABC,2,,,,,5,,END,,,,,
END OF FILE
