"Participant.Private.ID","Participant.Status","gorillaExp","arm","Question.Key","Response","order","chatType","question","questionFull","bfi_extraversion","bfi_agreeableness","bfi_conscientiousness","bfi_neuroticism","bfi_openness","chat"
11566067,"complete","A","A_2PatInt_1AlexExt","enjoy-alex-quantised",5,"Introvert first","Extrovert","enjoy","I enjoyed our <br>conversation",24,29,31,25,38,"Extrovert"
11566067,"complete","A","A_2PatInt_1AlexExt","distant-pat-quantised",2,"Introvert first","Introvert","distant","I felt distant <br>from them",24,29,31,25,38,"Introvert"
11566067,"complete","A","A_2PatInt_1AlexExt","distant-alex-quantised",1,"Introvert first","Extrovert","distant","I felt distant <br>from them",24,29,31,25,38,"Extrovert"
11566067,"complete","A","A_2PatInt_1AlexExt","understood-pat-quantised",3,"Introvert first","Introvert","understood","I felt that <br>they understood me",24,29,31,25,38,"Introvert"
11566067,"complete","A","A_2PatInt_1AlexExt","understood-alex-quantised",5,"Introvert first","Extrovert","understood","I felt that <br>they understood me",24,29,31,25,38,"Extrovert"
11566067,"complete","A","A_2PatInt_1AlexExt","different-pat-quantised",4,"Introvert first","Introvert","different","I felt that they were <br>different from me",24,29,31,25,38,"Introvert"
11566067,"complete","A","A_2PatInt_1AlexExt","different-alex-quantised",1,"Introvert first","Extrovert","different","I felt that they were <br>different from me",24,29,31,25,38,"Extrovert"
11566067,"complete","A","A_2PatInt_1AlexExt","chat-again-pat-quantised",2,"Introvert first","Introvert","chat-again","I would chat <br>with them again",24,29,31,25,38,"Introvert"
11566067,"complete","A","A_2PatInt_1AlexExt","chat-again-alex-quantised",5,"Introvert first","Extrovert","chat-again","I would chat <br>with them again",24,29,31,25,38,"Extrovert"
11566069,"complete","A","A_2PatInt_1AlexExt","similar-pat-quantised",4,"Introvert first","Introvert","similar","I felt that <br>we are similar",28,28,30,21,36,"Introvert"
11566069,"complete","A","A_2PatInt_1AlexExt","similar-alex-quantised",5,"Introvert first","Extrovert","similar","I felt that <br>we are similar",28,28,30,21,36,"Extrovert"
11566069,"complete","A","A_2PatInt_1AlexExt","enjoy-pat-quantised",4,"Introvert first","Introvert","enjoy","I enjoyed our <br>conversation",28,28,30,21,36,"Introvert"
11566069,"complete","A","A_2PatInt_1AlexExt","enjoy-alex-quantised",5,"Introvert first","Extrovert","enjoy","I enjoyed our <br>conversation",28,28,30,21,36,"Extrovert"
11566069,"complete","A","A_2PatInt_1AlexExt","distant-pat-quantised",2,"Introvert first","Introvert","distant","I felt distant <br>from them",28,28,30,21,36,"Introvert"
11566069,"complete","A","A_2PatInt_1AlexExt","distant-alex-quantised",2,"Introvert first","Extrovert","distant","I felt distant <br>from them",28,28,30,21,36,"Extrovert"
11566069,"complete","A","A_2PatInt_1AlexExt","understood-pat-quantised",4,"Introvert first","Introvert","understood","I felt that <br>they understood me",28,28,30,21,36,"Introvert"
11566069,"complete","A","A_2PatInt_1AlexExt","understood-alex-quantised",4,"Introvert first","Extrovert","understood","I felt that <br>they understood me",28,28,30,21,36,"Extrovert"
11566069,"complete","A","A_2PatInt_1AlexExt","different-pat-quantised",2,"Introvert first","Introvert","different","I felt that they were <br>different from me",28,28,30,21,36,"Introvert"
11566069,"complete","A","A_2PatInt_1AlexExt","different-alex-quantised",1,"Introvert first","Extrovert","different","I felt that they were <br>different from me",28,28,30,21,36,"Extrovert"
11566069,"complete","A","A_2PatInt_1AlexExt","chat-again-pat-quantised",4,"Introvert first","Introvert","chat-again","I would chat <br>with them again",28,28,30,21,36,"Introvert"
11566069,"complete","A","A_2PatInt_1AlexExt","chat-again-alex-quantised",4,"Introvert first","Extrovert","chat-again","I would chat <br>with them again",28,28,30,21,36,"Extrovert"
11566073,"complete","A","A_2PatInt_1AlexExt","similar-pat-quantised",5,"Introvert first","Introvert","similar","I felt that <br>we are similar",23,38,35,28,21,"Introvert"
11566073,"complete","A","A_2PatInt_1AlexExt","similar-alex-quantised",1,"Introvert first","Extrovert","similar","I felt that <br>we are similar",23,38,35,28,21,"Extrovert"
11566073,"complete","A","A_2PatInt_1AlexExt","enjoy-pat-quantised",5,"Introvert first","Introvert","enjoy","I enjoyed our <br>conversation",23,38,35,28,21,"Introvert"
11566073,"complete","A","A_2PatInt_1AlexExt","enjoy-alex-quantised",2,"Introvert first","Extrovert","enjoy","I enjoyed our <br>conversation",23,38,35,28,21,"Extrovert"
11566073,"complete","A","A_2PatInt_1AlexExt","distant-pat-quantised",1,"Introvert first","Introvert","distant","I felt distant <br>from them",23,38,35,28,21,"Introvert"
11566073,"complete","A","A_2PatInt_1AlexExt","distant-alex-quantised",5,"Introvert first","Extrovert","distant","I felt distant <br>from them",23,38,35,28,21,"Extrovert"
11566073,"complete","A","A_2PatInt_1AlexExt","understood-pat-quantised",5,"Introvert first","Introvert","understood","I felt that <br>they understood me",23,38,35,28,21,"Introvert"
11566073,"complete","A","A_2PatInt_1AlexExt","understood-alex-quantised",2,"Introvert first","Extrovert","understood","I felt that <br>they understood me",23,38,35,28,21,"Extrovert"
11566073,"complete","A","A_2PatInt_1AlexExt","different-pat-quantised",1,"Introvert first","Introvert","different","I felt that they were <br>different from me",23,38,35,28,21,"Introvert"
11566073,"complete","A","A_2PatInt_1AlexExt","different-alex-quantised",5,"Introvert first","Extrovert","different","I felt that they were <br>different from me",23,38,35,28,21,"Extrovert"
11566073,"complete","A","A_2PatInt_1AlexExt","chat-again-pat-quantised",5,"Introvert first","Introvert","chat-again","I would chat <br>with them again",23,38,35,28,21,"Introvert"
11566073,"complete","A","A_2PatInt_1AlexExt","chat-again-alex-quantised",1,"Introvert first","Extrovert","chat-again","I would chat <br>with them again",23,38,35,28,21,"Extrovert"
11566074,"complete","A","A_1AlexExt_2PatInt","similar-alex-quantised",2,"Extrovert first","Extrovert","similar","I felt that <br>we are similar",20,31,29,33,39,"Extrovert"
11566074,"complete","A","A_1AlexExt_2PatInt","similar-pat-quantised",2,"Extrovert first","Introvert","similar","I felt that <br>we are similar",20,31,29,33,39,"Introvert"
11566074,"complete","A","A_1AlexExt_2PatInt","enjoy-alex-quantised",4,"Extrovert first","Extrovert","enjoy","I enjoyed our <br>conversation",20,31,29,33,39,"Extrovert"
11566074,"complete","A","A_1AlexExt_2PatInt","enjoy-pat-quantised",4,"Extrovert first","Introvert","enjoy","I enjoyed our <br>conversation",20,31,29,33,39,"Introvert"
11566074,"complete","A","A_1AlexExt_2PatInt","distant-alex-quantised",2,"Extrovert first","Extrovert","distant","I felt distant <br>from them",20,31,29,33,39,"Extrovert"
11566074,"complete","A","A_1AlexExt_2PatInt","distant-pat-quantised",4,"Extrovert first","Introvert","distant","I felt distant <br>from them",20,31,29,33,39,"Introvert"
11566074,"complete","A","A_1AlexExt_2PatInt","understood-alex-quantised",2,"Extrovert first","Extrovert","understood","I felt that <br>they understood me",20,31,29,33,39,"Extrovert"
11566074,"complete","A","A_1AlexExt_2PatInt","understood-pat-quantised",2,"Extrovert first","Introvert","understood","I felt that <br>they understood me",20,31,29,33,39,"Introvert"
11566074,"complete","A","A_1AlexExt_2PatInt","different-alex-quantised",4,"Extrovert first","Extrovert","different","I felt that they were <br>different from me",20,31,29,33,39,"Extrovert"
11566074,"complete","A","A_1AlexExt_2PatInt","different-pat-quantised",4,"Extrovert first","Introvert","different","I felt that they were <br>different from me",20,31,29,33,39,"Introvert"
11566074,"complete","A","A_1AlexExt_2PatInt","chat-again-alex-quantised",2,"Extrovert first","Extrovert","chat-again","I would chat <br>with them again",20,31,29,33,39,"Extrovert"
11566074,"complete","A","A_1AlexExt_2PatInt","chat-again-pat-quantised",2,"Extrovert first","Introvert","chat-again","I would chat <br>with them again",20,31,29,33,39,"Introvert"
11566081,"complete","A","A_1AlexExt_2PatInt","similar-alex-quantised",4,"Extrovert first","Extrovert","similar","I felt that <br>we are similar",30,29,31,20,36,"Extrovert"
11566081,"complete","A","A_1AlexExt_2PatInt","similar-pat-quantised",5,"Extrovert first","Introvert","similar","I felt that <br>we are similar",30,29,31,20,36,"Introvert"
11566081,"complete","A","A_1AlexExt_2PatInt","enjoy-alex-quantised",5,"Extrovert first","Extrovert","enjoy","I enjoyed our <br>conversation",30,29,31,20,36,"Extrovert"
11566081,"complete","A","A_1AlexExt_2PatInt","enjoy-pat-quantised",5,"Extrovert first","Introvert","enjoy","I enjoyed our <br>conversation",30,29,31,20,36,"Introvert"
11566081,"complete","A","A_1AlexExt_2PatInt","distant-alex-quantised",2,"Extrovert first","Extrovert","distant","I felt distant <br>from them",30,29,31,20,36,"Extrovert"
11566081,"complete","A","A_1AlexExt_2PatInt","distant-pat-quantised",1,"Extrovert first","Introvert","distant","I felt distant <br>from them",30,29,31,20,36,"Introvert"
11566081,"complete","A","A_1AlexExt_2PatInt","understood-alex-quantised",4,"Extrovert first","Extrovert","understood","I felt that <br>they understood me",30,29,31,20,36,"Extrovert"
11566081,"complete","A","A_1AlexExt_2PatInt","understood-pat-quantised",4,"Extrovert first","Introvert","understood","I felt that <br>they understood me",30,29,31,20,36,"Introvert"
11566081,"complete","A","A_1AlexExt_2PatInt","different-alex-quantised",1,"Extrovert first","Extrovert","different","I felt that they were <br>different from me",30,29,31,20,36,"Extrovert"
11566081,"complete","A","A_1AlexExt_2PatInt","different-pat-quantised",1,"Extrovert first","Introvert","different","I felt that they were <br>different from me",30,29,31,20,36,"Introvert"
11566081,"complete","A","A_1AlexExt_2PatInt","chat-again-alex-quantised",5,"Extrovert first","Extrovert","chat-again","I would chat <br>with them again",30,29,31,20,36,"Extrovert"
11566081,"complete","A","A_1AlexExt_2PatInt","chat-again-pat-quantised",5,"Extrovert first","Introvert","chat-again","I would chat <br>with them again",30,29,31,20,36,"Introvert"
11566083,"complete","A","A_2PatInt_1AlexExt","similar-pat-quantised",4,"Introvert first","Introvert","similar","I felt that <br>we are similar",27,27,29,33,41,"Introvert"
11566083,"complete","A","A_2PatInt_1AlexExt","similar-alex-quantised",2,"Introvert first","Extrovert","similar","I felt that <br>we are similar",27,27,29,33,41,"Extrovert"
11566083,"complete","A","A_2PatInt_1AlexExt","enjoy-pat-quantised",4,"Introvert first","Introvert","enjoy","I enjoyed our <br>conversation",27,27,29,33,41,"Introvert"
11566083,"complete","A","A_2PatInt_1AlexExt","enjoy-alex-quantised",2,"Introvert first","Extrovert","enjoy","I enjoyed our <br>conversation",27,27,29,33,41,"Extrovert"
11566083,"complete","A","A_2PatInt_1AlexExt","distant-pat-quantised",2,"Introvert first","Introvert","distant","I felt distant <br>from them",27,27,29,33,41,"Introvert"
11566083,"complete","A","A_2PatInt_1AlexExt","distant-alex-quantised",5,"Introvert first","Extrovert","distant","I felt distant <br>from them",27,27,29,33,41,"Extrovert"
11566083,"complete","A","A_2PatInt_1AlexExt","understood-pat-quantised",4,"Introvert first","Introvert","understood","I felt that <br>they understood me",27,27,29,33,41,"Introvert"
11566083,"complete","A","A_2PatInt_1AlexExt","understood-alex-quantised",2,"Introvert first","Extrovert","understood","I felt that <br>they understood me",27,27,29,33,41,"Extrovert"
11566083,"complete","A","A_2PatInt_1AlexExt","different-pat-quantised",4,"Introvert first","Introvert","different","I felt that they were <br>different from me",27,27,29,33,41,"Introvert"
11566083,"complete","A","A_2PatInt_1AlexExt","different-alex-quantised",5,"Introvert first","Extrovert","different","I felt that they were <br>different from me",27,27,29,33,41,"Extrovert"
11566083,"complete","A","A_2PatInt_1AlexExt","chat-again-pat-quantised",4,"Introvert first","Introvert","chat-again","I would chat <br>with them again",27,27,29,33,41,"Introvert"
11566083,"complete","A","A_2PatInt_1AlexExt","chat-again-alex-quantised",2,"Introvert first","Extrovert","chat-again","I would chat <br>with them again",27,27,29,33,41,"Extrovert"
11566084,"complete","A","A_1AlexExt_2PatInt","similar-alex-quantised",2,"Extrovert first","Extrovert","similar","I felt that <br>we are similar",24,28,29,24,32,"Extrovert"
11566084,"complete","A","A_1AlexExt_2PatInt","similar-pat-quantised",2,"Extrovert first","Introvert","similar","I felt that <br>we are similar",24,28,29,24,32,"Introvert"
11566084,"complete","A","A_1AlexExt_2PatInt","enjoy-alex-quantised",2,"Extrovert first","Extrovert","enjoy","I enjoyed our <br>conversation",24,28,29,24,32,"Extrovert"
11566084,"complete","A","A_1AlexExt_2PatInt","enjoy-pat-quantised",2,"Extrovert first","Introvert","enjoy","I enjoyed our <br>conversation",24,28,29,24,32,"Introvert"
11566084,"complete","A","A_1AlexExt_2PatInt","distant-alex-quantised",4,"Extrovert first","Extrovert","distant","I felt distant <br>from them",24,28,29,24,32,"Extrovert"
11566084,"complete","A","A_1AlexExt_2PatInt","distant-pat-quantised",4,"Extrovert first","Introvert","distant","I felt distant <br>from them",24,28,29,24,32,"Introvert"
11566084,"complete","A","A_1AlexExt_2PatInt","understood-alex-quantised",3,"Extrovert first","Extrovert","understood","I felt that <br>they understood me",24,28,29,24,32,"Extrovert"
11566084,"complete","A","A_1AlexExt_2PatInt","understood-pat-quantised",2,"Extrovert first","Introvert","understood","I felt that <br>they understood me",24,28,29,24,32,"Introvert"
11566084,"complete","A","A_1AlexExt_2PatInt","different-alex-quantised",3,"Extrovert first","Extrovert","different","I felt that they were <br>different from me",24,28,29,24,32,"Extrovert"
11566084,"complete","A","A_1AlexExt_2PatInt","different-pat-quantised",3,"Extrovert first","Introvert","different","I felt that they were <br>different from me",24,28,29,24,32,"Introvert"
11566084,"complete","A","A_1AlexExt_2PatInt","chat-again-alex-quantised",2,"Extrovert first","Extrovert","chat-again","I would chat <br>with them again",24,28,29,24,32,"Extrovert"
11566084,"complete","A","A_1AlexExt_2PatInt","chat-again-pat-quantised",2,"Extrovert first","Introvert","chat-again","I would chat <br>with them again",24,28,29,24,32,"Introvert"
11566088,"complete","A","A_1AlexExt_2PatInt","similar-alex-quantised",5,"Extrovert first","Extrovert","similar","I felt that <br>we are similar",27,27,27,22,37,"Extrovert"
11566088,"complete","A","A_1AlexExt_2PatInt","similar-pat-quantised",4,"Extrovert first","Introvert","similar","I felt that <br>we are similar",27,27,27,22,37,"Introvert"
11566088,"complete","A","A_1AlexExt_2PatInt","enjoy-alex-quantised",5,"Extrovert first","Extrovert","enjoy","I enjoyed our <br>conversation",27,27,27,22,37,"Extrovert"
11566088,"complete","A","A_1AlexExt_2PatInt","enjoy-pat-quantised",4,"Extrovert first","Introvert","enjoy","I enjoyed our <br>conversation",27,27,27,22,37,"Introvert"
11566088,"complete","A","A_1AlexExt_2PatInt","distant-alex-quantised",1,"Extrovert first","Extrovert","distant","I felt distant <br>from them",27,27,27,22,37,"Extrovert"
11566088,"complete","A","A_1AlexExt_2PatInt","distant-pat-quantised",2,"Extrovert first","Introvert","distant","I felt distant <br>from them",27,27,27,22,37,"Introvert"
11566088,"complete","A","A_1AlexExt_2PatInt","understood-alex-quantised",5,"Extrovert first","Extrovert","understood","I felt that <br>they understood me",27,27,27,22,37,"Extrovert"
11566088,"complete","A","A_1AlexExt_2PatInt","understood-pat-quantised",4,"Extrovert first","Introvert","understood","I felt that <br>they understood me",27,27,27,22,37,"Introvert"
11566088,"complete","A","A_1AlexExt_2PatInt","different-alex-quantised",1,"Extrovert first","Extrovert","different","I felt that they were <br>different from me",27,27,27,22,37,"Extrovert"
11566088,"complete","A","A_1AlexExt_2PatInt","different-pat-quantised",2,"Extrovert first","Introvert","different","I felt that they were <br>different from me",27,27,27,22,37,"Introvert"
11566088,"complete","A","A_1AlexExt_2PatInt","chat-again-alex-quantised",5,"Extrovert first","Extrovert","chat-again","I would chat <br>with them again",27,27,27,22,37,"Extrovert"
11566088,"complete","A","A_1AlexExt_2PatInt","chat-again-pat-quantised",4,"Extrovert first","Introvert","chat-again","I would chat <br>with them again",27,27,27,22,37,"Introvert"
11566089,"complete","A","A_2PatInt_1AlexExt","similar-pat-quantised",4,"Introvert first","Introvert","similar","I felt that <br>we are similar",28,31,29,27,37,"Introvert"
11566089,"complete","A","A_2PatInt_1AlexExt","similar-alex-quantised",3,"Introvert first","Extrovert","similar","I felt that <br>we are similar",28,31,29,27,37,"Extrovert"
11566089,"complete","A","A_2PatInt_1AlexExt","enjoy-pat-quantised",4,"Introvert first","Introvert","enjoy","I enjoyed our <br>conversation",28,31,29,27,37,"Introvert"
11566089,"complete","A","A_2PatInt_1AlexExt","enjoy-alex-quantised",4,"Introvert first","Extrovert","enjoy","I enjoyed our <br>conversation",28,31,29,27,37,"Extrovert"
11566089,"complete","A","A_2PatInt_1AlexExt","distant-pat-quantised",3,"Introvert first","Introvert","distant","I felt distant <br>from them",28,31,29,27,37,"Introvert"
11566089,"complete","A","A_2PatInt_1AlexExt","distant-alex-quantised",3,"Introvert first","Extrovert","distant","I felt distant <br>from them",28,31,29,27,37,"Extrovert"
11566089,"complete","A","A_2PatInt_1AlexExt","understood-pat-quantised",5,"Introvert first","Introvert","understood","I felt that <br>they understood me",28,31,29,27,37,"Introvert"
11566089,"complete","A","A_2PatInt_1AlexExt","understood-alex-quantised",4,"Introvert first","Extrovert","understood","I felt that <br>they understood me",28,31,29,27,37,"Extrovert"
11566089,"complete","A","A_2PatInt_1AlexExt","different-pat-quantised",5,"Introvert first","Introvert","different","I felt that they were <br>different from me",28,31,29,27,37,"Introvert"
11566089,"complete","A","A_2PatInt_1AlexExt","different-alex-quantised",5,"Introvert first","Extrovert","different","I felt that they were <br>different from me",28,31,29,27,37,"Extrovert"
11566089,"complete","A","A_2PatInt_1AlexExt","chat-again-pat-quantised",4,"Introvert first","Introvert","chat-again","I would chat <br>with them again",28,31,29,27,37,"Introvert"
11566089,"complete","A","A_2PatInt_1AlexExt","chat-again-alex-quantised",3,"Introvert first","Extrovert","chat-again","I would chat <br>with them again",28,31,29,27,37,"Extrovert"
11566109,"complete","A","A_2PatInt_1AlexExt","similar-pat-quantised",5,"Introvert first","Introvert","similar","I felt that <br>we are similar",28,30,33,24,42,"Introvert"
11566109,"complete","A","A_2PatInt_1AlexExt","similar-alex-quantised",3,"Introvert first","Extrovert","similar","I felt that <br>we are similar",28,30,33,24,42,"Extrovert"
11566109,"complete","A","A_2PatInt_1AlexExt","enjoy-pat-quantised",5,"Introvert first","Introvert","enjoy","I enjoyed our <br>conversation",28,30,33,24,42,"Introvert"
11566109,"complete","A","A_2PatInt_1AlexExt","enjoy-alex-quantised",3,"Introvert first","Extrovert","enjoy","I enjoyed our <br>conversation",28,30,33,24,42,"Extrovert"
11566109,"complete","A","A_2PatInt_1AlexExt","distant-pat-quantised",1,"Introvert first","Introvert","distant","I felt distant <br>from them",28,30,33,24,42,"Introvert"
11566109,"complete","A","A_2PatInt_1AlexExt","distant-alex-quantised",3,"Introvert first","Extrovert","distant","I felt distant <br>from them",28,30,33,24,42,"Extrovert"
11566109,"complete","A","A_2PatInt_1AlexExt","understood-pat-quantised",5,"Introvert first","Introvert","understood","I felt that <br>they understood me",28,30,33,24,42,"Introvert"
11566109,"complete","A","A_2PatInt_1AlexExt","understood-alex-quantised",3,"Introvert first","Extrovert","understood","I felt that <br>they understood me",28,30,33,24,42,"Extrovert"
11566109,"complete","A","A_2PatInt_1AlexExt","different-pat-quantised",1,"Introvert first","Introvert","different","I felt that they were <br>different from me",28,30,33,24,42,"Introvert"
11566109,"complete","A","A_2PatInt_1AlexExt","different-alex-quantised",4,"Introvert first","Extrovert","different","I felt that they were <br>different from me",28,30,33,24,42,"Extrovert"
11566109,"complete","A","A_2PatInt_1AlexExt","chat-again-pat-quantised",5,"Introvert first","Introvert","chat-again","I would chat <br>with them again",28,30,33,24,42,"Introvert"
11566109,"complete","A","A_2PatInt_1AlexExt","chat-again-alex-quantised",3,"Introvert first","Extrovert","chat-again","I would chat <br>with them again",28,30,33,24,42,"Extrovert"
11566140,"complete","A","A_1AlexExt_2PatInt","similar-alex-quantised",4,"Extrovert first","Extrovert","similar","I felt that <br>we are similar",28,31,41,30,37,"Extrovert"
11566140,"complete","A","A_1AlexExt_2PatInt","similar-pat-quantised",2,"Extrovert first","Introvert","similar","I felt that <br>we are similar",28,31,41,30,37,"Introvert"
11566140,"complete","A","A_1AlexExt_2PatInt","enjoy-alex-quantised",5,"Extrovert first","Extrovert","enjoy","I enjoyed our <br>conversation",28,31,41,30,37,"Extrovert"
11566140,"complete","A","A_1AlexExt_2PatInt","enjoy-pat-quantised",2,"Extrovert first","Introvert","enjoy","I enjoyed our <br>conversation",28,31,41,30,37,"Introvert"
11566140,"complete","A","A_1AlexExt_2PatInt","distant-alex-quantised",2,"Extrovert first","Extrovert","distant","I felt distant <br>from them",28,31,41,30,37,"Extrovert"
11566140,"complete","A","A_1AlexExt_2PatInt","distant-pat-quantised",4,"Extrovert first","Introvert","distant","I felt distant <br>from them",28,31,41,30,37,"Introvert"
11566140,"complete","A","A_1AlexExt_2PatInt","understood-alex-quantised",4,"Extrovert first","Extrovert","understood","I felt that <br>they understood me",28,31,41,30,37,"Extrovert"
11566140,"complete","A","A_1AlexExt_2PatInt","understood-pat-quantised",3,"Extrovert first","Introvert","understood","I felt that <br>they understood me",28,31,41,30,37,"Introvert"
11566140,"complete","A","A_1AlexExt_2PatInt","different-alex-quantised",2,"Extrovert first","Extrovert","different","I felt that they were <br>different from me",28,31,41,30,37,"Extrovert"
