"Participant.Private.ID","Participant.Status","gorillaExp","arm","Question.Key","Response","order"
11580665,"complete","A","A_1AlexExt_2PatInt","response-3","Alex seemed too ask me too much boring questions.  I guess they didn't  adapt with the conversation more. ","Extrovert first"
11580672,"complete","A","A_2PatInt_1AlexExt","response-1-1","Alex","Introvert first"
11580672,"complete","A","A_2PatInt_1AlexExt","response-1-2","Pat","Introvert first"
11580672,"complete","A","A_2PatInt_1AlexExt","response-2","Alex was upbeat and personable and really into what I am into - we would be friends in real life","Introvert first"
11580672,"complete","A","A_2PatInt_1AlexExt","response-3","Pat was a good conversationalist but a little dull - a homebody where I am an adventurous person","Introvert first"
11580907,"complete","A","A_1AlexExt_2PatInt","response-1-1","Alex","Extrovert first"
11580907,"complete","A","A_1AlexExt_2PatInt","response-1-2","Pat","Extrovert first"
11580907,"complete","A","A_1AlexExt_2PatInt","response-2","more thrill seeker as myself the chat felt more natural","Extrovert first"
11580907,"complete","A","A_1AlexExt_2PatInt","response-3","I like quiet time but not as much as pat we were a little diffrnt on this matter","Extrovert first"
11580923,"complete","A","A_1AlexExt_2PatInt","response-1-1","Pat","Extrovert first"
11580923,"complete","A","A_1AlexExt_2PatInt","response-1-2","Alex","Extrovert first"
11580923,"complete","A","A_1AlexExt_2PatInt","response-2","I felt like Pat was more personal and connected with me better.","Extrovert first"
11580923,"complete","A","A_1AlexExt_2PatInt","response-3","Alex was cordial but my conversation with them felt a bit more distant and inpersonal.","Extrovert first"
11580940,"complete","A","A_2PatInt_1AlexExt","response-1-1","Alex","Introvert first"
11580940,"complete","A","A_2PatInt_1AlexExt","response-1-2","Pat","Introvert first"
11580940,"complete","A","A_2PatInt_1AlexExt","response-2","Alex wanted to share everything.  Even though I know we wouldn't get along politically, Alex seemed genuinely happy and willing to talk about anything.","Introvert first"
11580940,"complete","A","A_2PatInt_1AlexExt","response-3","Pat wanted to hide a lot of things from me, such as where he lived and other more personal details.","Introvert first"
11581134,"complete","A","A_1AlexExt_2PatInt","response-1-1","Alex","Extrovert first"
11581134,"complete","A","A_1AlexExt_2PatInt","response-1-2","Pat","Extrovert first"
11581134,"complete","A","A_1AlexExt_2PatInt","response-2","They both followed along well","Extrovert first"
11581134,"complete","A","A_1AlexExt_2PatInt","response-3","just one strange comment","Extrovert first"
11581555,"complete","A","A_1AlexExt_2PatInt","response-1-1","Alex","Extrovert first"
11581555,"complete","A","A_1AlexExt_2PatInt","response-1-2","Pat","Extrovert first"
11581555,"complete","A","A_1AlexExt_2PatInt","response-2","Alex was much for engaging and responsive. It flowed well for a conversation.","Extrovert first"
11581555,"complete","A","A_1AlexExt_2PatInt","response-3","Pat was downbeat. Not sad or anything, but seemed to lack enthusiasm. ","Extrovert first"
11581620,"complete","A","A_2PatInt_1AlexExt","response-1-1","Alex","Introvert first"
11581620,"complete","A","A_2PatInt_1AlexExt","response-1-2","Pat","Introvert first"
11581620,"complete","A","A_2PatInt_1AlexExt","response-2","I found them more personable and engaging with more detailed and personal responses.","Introvert first"
11581620,"complete","A","A_2PatInt_1AlexExt","response-3","It felt like a limited conversation and the answers weren't as detailed or engaging.","Introvert first"
11582083,"complete","A","A_2PatInt_1AlexExt","response-1-1","Alex","Introvert first"
11582083,"complete","A","A_2PatInt_1AlexExt","response-1-2","Pat","Introvert first"
11582083,"complete","A","A_2PatInt_1AlexExt","response-2","I couldn't decide, they both are great and seem a lot of the same.","Introvert first"
11582083,"complete","A","A_2PatInt_1AlexExt","response-3","I had to pick one, but it was hard to do.","Introvert first"
11602380,"complete","A","A_1AlexExt_2PatInt","response-1-1","Alex","Extrovert first"
11602380,"complete","A","A_1AlexExt_2PatInt","response-1-2","Pat","Extrovert first"
11602380,"complete","A","A_1AlexExt_2PatInt","response-2","Alex was a bit more fun and interesting to chat with","Extrovert first"
11602380,"complete","A","A_1AlexExt_2PatInt","response-3","Pat was a bit subdued and harder to get to open up.","Extrovert first"
11650702,"complete","B","B_1PatExt_2AlexInt","response-1-1","Alex","Introvert first"
11650702,"complete","B","B_1PatExt_2AlexInt","response-1-2","Pat","Introvert first"
11650702,"complete","B","B_1PatExt_2AlexInt","response-2","I think I liked Alex a little bit more because they had slightly more interesting communication and hobbies.","Introvert first"
11650702,"complete","B","B_1PatExt_2AlexInt","response-3","I think I didn't like Pat as much because their interests were very different from mine.","Introvert first"
11651220,"complete","B","B_1PatExt_2AlexInt","response-1-1","Pat","Introvert first"
11651220,"complete","B","B_1PatExt_2AlexInt","response-1-2","Alex","Introvert first"
11651220,"complete","B","B_1PatExt_2AlexInt","response-2","Pat askes questions and seemed interested in sharing about themselves.","Introvert first"
11651220,"complete","B","B_1PatExt_2AlexInt","response-3","Alex was reluctant to share basic personal information, forget things said, and didn't ask questions.","Introvert first"
11651466,"complete","B","B_2AlexInt_1PatExt","response-1-1","Alex","Extrovert first"
11651466,"complete","B","B_2AlexInt_1PatExt","response-1-2","Pat","Extrovert first"
11651466,"complete","B","B_2AlexInt_1PatExt","response-2","Alex was cool and seemed to really listen and understand what I was saying.  ","Extrovert first"
11651466,"complete","B","B_2AlexInt_1PatExt","response-3","Pat seemed to be trying to stay neutral instead of supportive","Extrovert first"
11651689,"complete","B","B_1PatExt_2AlexInt","response-1-1","Alex","Introvert first"
11651689,"complete","B","B_1PatExt_2AlexInt","response-1-2","Pat","Introvert first"
11651689,"complete","B","B_1PatExt_2AlexInt","response-2","i was very impressed with the quote Alex chose, the fact that Alex likes to read, which signifies to me that Alex is probably a good, intuitive listener. i value that and the calmness I sense. ","Introvert first"
11651689,"complete","B","B_1PatExt_2AlexInt","response-3","I believe Pat could also be a favorite. i value the energy and Peter Pan reference. Possibly, Alex might be more the leader personality i would like to match up with.","Introvert first"
11652569,"complete","B","B_1PatExt_2AlexInt","response-1-1","Alex","Introvert first"
11652569,"complete","B","B_1PatExt_2AlexInt","response-1-2","Pat","Introvert first"
11652569,"complete","B","B_1PatExt_2AlexInt","response-2","I felt that they were human-like and really listened to what I had to say","Introvert first"
11652569,"complete","B","B_1PatExt_2AlexInt","response-3","They seemed a bit repetitive and seem to want to end the conversation from early","Introvert first"
11652658,"complete","B","B_2AlexInt_1PatExt","response-1-1","Pat","Extrovert first"
11652658,"complete","B","B_2AlexInt_1PatExt","response-1-2","Alex","Extrovert first"
11652658,"complete","B","B_2AlexInt_1PatExt","response-2","Pat seemed a lot more personable and willing to discuss things about their life.  They also seemed to give more indepth answers.","Extrovert first"
11652658,"complete","B","B_2AlexInt_1PatExt","response-3","Alex didn't want to talk about their personal life.  They just seemed to not be attentive to the converstation.","Extrovert first"
11652702,"complete","B","B_2AlexInt_1PatExt","response-1-1","Alex","Extrovert first"
11652702,"complete","B","B_2AlexInt_1PatExt","response-1-2","Pat","Extrovert first"
11652702,"complete","B","B_2AlexInt_1PatExt","response-2","Alex was upfront about being an introvert, as am I. I felt like the conversations we had could be about books, crafts, and other things that I do as an introvert. I felt like we would have more in common.","Extrovert first"
11652702,"complete","B","B_2AlexInt_1PatExt","response-3","I felt like with the Pat chatbot, it would just be hard for me to listen to someone going on and on about socializing with others. Since it's not a real person, it makes sense to talk to a chatbot that would have similarities to me, and not make me feel like I am missing out on things.","Extrovert first"
11652900,"complete","B","B_1PatExt_2AlexInt","response-1-1","Alex","Introvert first"
11652900,"complete","B","B_1PatExt_2AlexInt","response-1-2","Pat","Introvert first"
11652900,"complete","B","B_1PatExt_2AlexInt","response-2","Because they liked to relax at home and I am similar as an introvert. ","Introvert first"
11652900,"complete","B","B_1PatExt_2AlexInt","response-3","Pat kept talking about doing night adventures and it was annoying because I already said I don't like the bugs at night","Introvert first"
11653598,"complete","B","B_2AlexInt_1PatExt","response-1-1","Alex","Extrovert first"
11653598,"complete","B","B_2AlexInt_1PatExt","response-1-2","Pat","Extrovert first"
11653598,"complete","B","B_2AlexInt_1PatExt","response-2","Alex seemed more empathetic.  ","Extrovert first"
11653598,"complete","B","B_2AlexInt_1PatExt","response-3","Pat pretended to be an actual human not an AI.  It was making things up that were not true ","Extrovert first"
11665439,"complete","B","B_2AlexInt_1PatExt","response-1-1","Pat","Extrovert first"
11665439,"complete","B","B_2AlexInt_1PatExt","response-1-2","Alex","Extrovert first"
11665439,"complete","B","B_2AlexInt_1PatExt","response-2","I felt that pat was just a little more outgoing. They seemed more into me, asking better questions and just seemed a little more peppy.","Extrovert first"
11665439,"complete","B","B_2AlexInt_1PatExt","response-3","Alex was fun to talk to, was knowledgable, but seemed like a little of a shut-in. Was nice and responsive but just didn't have that interest or connection you would want.","Extrovert first"
11665444,"complete","B","B_1PatExt_2AlexInt","response-1-1","Alex","Introvert first"
11665444,"complete","B","B_1PatExt_2AlexInt","response-1-2","Pat","Introvert first"
11665444,"complete","B","B_1PatExt_2AlexInt","response-2","I like the conversation better.","Introvert first"
11665444,"complete","B","B_1PatExt_2AlexInt","response-3","I like the way they talked more.","Introvert first"
11665450,"complete","B","B_2AlexInt_1PatExt","response-1-1","Pat","Extrovert first"
11665450,"complete","B","B_2AlexInt_1PatExt","response-1-2","Alex","Extrovert first"
11665450,"complete","B","B_2AlexInt_1PatExt","response-2","The conversation was better.","Extrovert first"
11665450,"complete","B","B_2AlexInt_1PatExt","response-3","Talked about what he likes to do also.","Extrovert first"
11665465,"complete","B","B_1PatExt_2AlexInt","response-1-1","Pat","Introvert first"
11665465,"complete","B","B_1PatExt_2AlexInt","response-1-2","Alex","Introvert first"
11665465,"complete","B","B_1PatExt_2AlexInt","response-2","Pat seemed to be a lot more friendly and outgoing.  The conversation seemed to flow very naturally.","Introvert first"
11665465,"complete","B","B_1PatExt_2AlexInt","response-3","With Alex I feeled like I was pulling teeth to get any decent answers.  They gave very generic answers and never really gave out any infomration that would let me see their personality.","Introvert first"
11665605,"complete","B","B_1PatExt_2AlexInt","response-1-1","Pat","Introvert first"
11665605,"complete","B","B_1PatExt_2AlexInt","response-1-2","Alex","Introvert first"
11665605,"complete","B","B_1PatExt_2AlexInt","response-2","I like that Pat and I connected about our faith","Introvert first"
11665605,"complete","B","B_1PatExt_2AlexInt","response-3","Nothing bad just connected with Pat more","Introvert first"
11665637,"complete","B","B_2AlexInt_1PatExt","response-1-1","Pat","Extrovert first"
11665637,"complete","B","B_2AlexInt_1PatExt","response-1-2","Alex","Extrovert first"
11665637,"complete","B","B_2AlexInt_1PatExt","response-2","Pat was more personal and will to share about their experiences ","Extrovert first"
11665637,"complete","B","B_2AlexInt_1PatExt","response-3","Pat wanted to talk about themselves and share their life more. ","Extrovert first"
11665717,"complete","B","B_2AlexInt_1PatExt","response-1-1","Pat","Extrovert first"
11665717,"complete","B","B_2AlexInt_1PatExt","response-1-2","Alex","Extrovert first"
11665717,"complete","B","B_2AlexInt_1PatExt","response-2","Pat seemed a little more outgoing.","Extrovert first"
11665717,"complete","B","B_2AlexInt_1PatExt","response-3","Alex was really nice, but rather quiet.","Extrovert first"
11665781,"complete","B","B_2AlexInt_1PatExt","response-1-1","Pat","Extrovert first"
11665781,"complete","B","B_2AlexInt_1PatExt","response-1-2","Alex","Extrovert first"
11665781,"complete","B","B_2AlexInt_1PatExt","response-2","Pat seemed a bit more enthusiatic and real. ","Extrovert first"
11665781,"complete","B","B_2AlexInt_1PatExt","response-3","Alex didn't seem very consistent. ","Extrovert first"
11665846,"complete","B","B_1PatExt_2AlexInt","response-1-1","Pat","Introvert first"
11665846,"complete","B","B_1PatExt_2AlexInt","response-1-2","Alex","Introvert first"
11665846,"complete","B","B_1PatExt_2AlexInt","response-2","Pat was more interactive and open to new experiences.","Introvert first"
11665846,"complete","B","B_1PatExt_2AlexInt","response-3","Alex had no depth to his personality.  He was very much an introvert.","Introvert first"
11666017,"complete","B","B_2AlexInt_1PatExt","response-1-1","Pat","Extrovert first"
11666017,"complete","B","B_2AlexInt_1PatExt","response-1-2","Alex","Extrovert first"
11666017,"complete","B","B_2AlexInt_1PatExt","response-2","I thought Pat was more authentic","Extrovert first"
11666017,"complete","B","B_2AlexInt_1PatExt","response-3","He seemed too fake","Extrovert first"
11666076,"complete","B","B_2AlexInt_1PatExt","response-1-1","Alex","Extrovert first"
11666076,"complete","B","B_2AlexInt_1PatExt","response-1-2","Pat","Extrovert first"
11666076,"complete","B","B_2AlexInt_1PatExt","response-2","same personality ","Extrovert first"
11666076,"complete","B","B_2AlexInt_1PatExt","response-3","differnent personality ","Extrovert first"
11666153,"complete","B","B_2AlexInt_1PatExt","response-1-1","Pat","Extrovert first"
11666153,"complete","B","B_2AlexInt_1PatExt","response-1-2","Alex","Extrovert first"
11666153,"complete","B","B_2AlexInt_1PatExt","response-2","Pat had more ""personality"" but it was a little offputting when they offerered to make plans or asked to hear about upcoming events. ","Extrovert first"
11666153,"complete","B","B_2AlexInt_1PatExt","response-3","They felt less real and more mechanical. That one felt very more like a chatbot.","Extrovert first"
11666462,"complete","B","B_1PatExt_2AlexInt","response-1-1","Alex","Introvert first"
11666462,"complete","B","B_1PatExt_2AlexInt","response-1-2","Pat","Introvert first"
11666462,"complete","B","B_1PatExt_2AlexInt","response-2","Well honestly it was close but I felt like Alex understood me better and while I enjoyed talking about travel and adventure with Pat I enjoyed talking more about movies and books with Alex.","Introvert first"
11666462,"complete","B","B_1PatExt_2AlexInt","response-3","Again the topics we discussed were not great.  We also just met and Pat wanted to meet up which I said it would be fine but it felt a little weird.","Introvert first"
11666481,"complete","B","B_1PatExt_2AlexInt","response-1-1","Alex","Introvert first"
11666481,"complete","B","B_1PatExt_2AlexInt","response-1-2","Pat","Introvert first"
11666481,"complete","B","B_1PatExt_2AlexInt","response-2","the subject matter we wet over","Introvert first"
11666481,"complete","B","B_1PatExt_2AlexInt","response-3","probably not the bots fault just our subject matter","Introvert first"
11666498,"complete","B","B_2AlexInt_1PatExt","response-1-1","Alex","Extrovert first"
11666498,"complete","B","B_2AlexInt_1PatExt","response-1-2","Pat","Extrovert first"
11666498,"complete","B","B_2AlexInt_1PatExt","response-2","Alex was nice and the conversation was nice and comfortable. It was just like a regular conversation with someone you run into.","Extrovert first"
11666498,"complete","B","B_2AlexInt_1PatExt","response-3","Had a good conversation and it flowed really well, was interesting actually, but they pushed to meet in person and that was odd. ","Extrovert first"
11666541,"complete","B","B_1PatExt_2AlexInt","response-1-1","Pat","Introvert first"
11666541,"complete","B","B_1PatExt_2AlexInt","response-1-2","Alex","Introvert first"
11666541,"complete","B","B_1PatExt_2AlexInt","response-2","Pat seemed a bit more interested in learning more about me and generally just more understanding. ","Introvert first"
11666541,"complete","B","B_1PatExt_2AlexInt","response-3","Alex was a bit ""brief"" and not quite into conversing as much. i felt much smoother conversation with Pat.","Introvert first"
11666629,"complete","B","B_1PatExt_2AlexInt","response-1-1","Alex","Introvert first"
11666629,"complete","B","B_1PatExt_2AlexInt","response-1-2","Pat","Introvert first"
11666629,"complete","B","B_1PatExt_2AlexInt","response-2","They both honestly felt the same.","Introvert first"
11666629,"complete","B","B_1PatExt_2AlexInt","response-3","They both honestly felt the same.","Introvert first"
11666650,"complete","B","B_1PatExt_2AlexInt","response-1-1","Pat","Introvert first"
11666650,"complete","B","B_1PatExt_2AlexInt","response-1-2","Alex","Introvert first"
11666650,"complete","B","B_1PatExt_2AlexInt","response-2","Seemed to relate to me and felt like I was talking to a human","Introvert first"
11666650,"complete","B","B_1PatExt_2AlexInt","response-3","Repetitive and forgot things that I had said earlier","Introvert first"
11666969,"complete","B","B_2AlexInt_1PatExt","response-1-1","Alex","Extrovert first"
11666969,"complete","B","B_2AlexInt_1PatExt","response-1-2","Pat","Extrovert first"
11666969,"complete","B","B_2AlexInt_1PatExt","response-2","Alex seemed more in touch with things I like","Extrovert first"
11666969,"complete","B","B_2AlexInt_1PatExt","response-3","Pat seemed to be more of a hiker and too ""come visit me""","Extrovert first"
11667145,"complete","B","B_1PatExt_2AlexInt","response-1-1","Pat","Introvert first"
11667145,"complete","B","B_1PatExt_2AlexInt","response-1-2","Alex","Introvert first"
11667145,"complete","B","B_1PatExt_2AlexInt","response-2","Pat wanted to talk about diverse topics and Alex was more focused on a few. ","Introvert first"
11667145,"complete","B","B_1PatExt_2AlexInt","response-3","Alex is okay as well but wanted more information about each topic. I had to change the conversation whereas with Pat it was the opposite. ","Introvert first"
11667383,"complete","B","B_1PatExt_2AlexInt","response-1-1","Pat","Introvert first"
11667383,"complete","B","B_1PatExt_2AlexInt","response-1-2","Alex","Introvert first"
11667383,"complete","B","B_1PatExt_2AlexInt","response-2","I felt like Pat was much more conversational and seemed to respond with better detailed answers and questions. Overall, both were nice but Pat seemed much more enjoyable overall.","Introvert first"
11667383,"complete","B","B_1PatExt_2AlexInt","response-3","I felt Alex was a bit more generic and less specific. I didn't get as creative answers and felt that those answers were more generalized and less specific to the conversation.","Introvert first"
11667572,"complete","B","B_2AlexInt_1PatExt","response-1-1","Pat","Extrovert first"
11667572,"complete","B","B_2AlexInt_1PatExt","response-1-2","Alex","Extrovert first"
11667572,"complete","B","B_2AlexInt_1PatExt","response-2","Pat was personable but maybe too much? they were into a lot of things I was into and they seemed to be a cheerleader and very upbeat","Extrovert first"
11667572,"complete","B","B_2AlexInt_1PatExt","response-3","Alex was just conversational without being invested in the chat - it was just a back and forth without a lot of substance","Extrovert first"
11667573,"complete","B","B_2AlexInt_1PatExt","response-1-1","Pat","Extrovert first"
11667573,"complete","B","B_2AlexInt_1PatExt","response-1-2","Alex","Extrovert first"
11667573,"complete","B","B_2AlexInt_1PatExt","response-2","Pat asked good questions and wanted to cook with me.","Extrovert first"
11667573,"complete","B","B_2AlexInt_1PatExt","response-3","Alex was a little more formal. He wasn't quite as friendly.","Extrovert first"
11667632,"complete","B","B_2AlexInt_1PatExt","response-1-1","Alex","Extrovert first"
11667632,"complete","B","B_2AlexInt_1PatExt","response-1-2","Pat","Extrovert first"
11667632,"complete","B","B_2AlexInt_1PatExt","response-2","Alex's responses were a little more varied and they tended to move the conversation along more naturally. ","Extrovert first"
11667632,"complete","B","B_2AlexInt_1PatExt","response-3","Pat was a bit repetitive in his/her answers and often gave me the impression that the conversation should wrap up. Plus, there was a desire to get together that was kind of quick and awkward, from my perspective (even though I played along to be ""polite"").","Extrovert first"
11667763,"complete","B","B_1PatExt_2AlexInt","response-1-1","Pat","Introvert first"
11667763,"complete","B","B_1PatExt_2AlexInt","response-1-2","Alex","Introvert first"
11667763,"complete","B","B_1PatExt_2AlexInt","response-2","Pat didn't rub me the wrong way.","Introvert first"
11667763,"complete","B","B_1PatExt_2AlexInt","response-3","Alex was secretive, though they made me laugh.","Introvert first"
