"Participant.Private.ID","item.1","item.2","item.3","item.4","item.5","item.6","item.7","item.8","item.9","item.10","item.11","item.12","item.13","item.14","item.15","item.16","item.17","item.18","item.19","item.20","item.21","item.22","item.23","item.24","item.25","item.26","item.27","item.28","item.29","item.30","item.31","item.32","item.33","item.34","item.35","item.36","item.37","item.38","item.39","item.40","item.41","item.42","item.43","item.44"
11580653,5,3,5,4,5,4,4,2,5,5,1,1,5,2,5,4,3,3,4,5,3,1,4,5,5,2,1,2,1,5,5,5,5,5,4,4,1,5,4,5,1,5,4,5
11580665,2,3,3,3,2,4,2,4,1,2,1,2,4,4,2,1,2,4,5,4,4,1,5,1,2,2,4,1,4,2,5,2,2,1,5,2,4,2,5,4,5,2,4,1
11580672,4,2,5,2,4,2,4,2,4,4,5,2,5,3,4,4,2,1,2,4,2,3,1,4,4,5,2,5,2,4,2,4,5,4,2,4,2,5,2,4,2,4,2,4
11580907,3,4,5,3,4,2,4,4,5,4,3,2,5,4,4,4,3,2,4,5,2,3,2,4,4,4,3,4,4,5,4,2,4,4,3,4,4,4,3,4,2,4,2,2
11580923,2,1,5,3,3,5,5,1,3,4,4,1,5,1,3,3,5,1,4,3,5,5,1,4,3,2,1,5,1,2,5,5,5,4,5,2,1,5,4,3,4,5,1,1
11580940,2,4,5,2,4,4,4,4,5,4,2,1,5,2,4,1,2,4,1,4,4,2,1,5,4,1,4,4,2,4,4,4,4,5,1,2,2,4,2,4,2,3,2,4
11581134,2,2,4,1,4,4,4,1,4,3,4,1,4,1,4,4,2,2,1,4,4,2,1,4,4,4,2,4,1,4,3,4,4,4,4,3,3,5,2,3,4,2,2,4
11581555,3,2,5,2,5,3,4,2,4,5,3,1,5,2,5,3,4,2,3,5,2,4,1,4,5,3,2,5,3,5,3,4,5,4,3,3,1,5,2,5,1,4,2,5
11581620,4,2,5,1,4,2,4,1,4,5,4,1,5,4,4,4,4,1,4,5,2,4,1,4,4,4,2,5,2,4,2,4,4,4,2,4,2,5,2,4,2,5,1,3
11582083,1,4,5,5,1,5,4,1,1,2,1,5,5,5,1,2,1,1,5,4,5,5,1,2,1,5,5,4,5,1,5,5,5,2,5,1,4,4,5,1,5,4,5,1
11602380,4,3,4,1,4,4,3,2,4,5,4,3,5,2,4,4,3,2,1,4,4,4,1,5,4,4,4,5,4,5,4,3,4,4,4,4,4,5,1,4,1,3,1,4
11650702,2,1,5,1,4,5,3,1,5,4,4,1,5,1,4,4,3,1,1,4,5,1,1,5,3,4,3,4,1,4,1,2,4,5,4,4,3,5,1,4,2,3,1,5
11651220,4,2,5,1,2,4,5,4,4,5,3,1,5,4,2,3,3,4,3,4,4,4,2,4,4,2,1,5,4,2,4,5,4,4,5,2,1,5,5,2,5,5,4,1
11651466,5,1,4,1,5,1,5,2,3,5,3,1,4,4,4,5,3,5,5,5,2,3,4,3,5,4,1,4,2,5,1,5,5,3,3,5,1,4,5,5,1,5,4,3
11651689,4,1,5,1,5,2,5,1,5,5,5,1,5,2,5,5,5,1,1,5,2,5,1,5,5,5,1,5,1,5,1,5,5,5,3,5,1,5,2,5,1,5,1,5
11652569,2,4,5,4,1,4,5,4,1,2,2,4,4,5,1,2,4,5,4,1,4,1,4,4,2,4,5,2,4,1,5,4,4,1,5,1,5,4,5,1,4,5,5,1
11652658,2,4,5,2,5,5,4,1,2,4,2,1,5,5,5,2,2,1,5,5,5,4,1,2,5,2,2,5,3,4,4,5,5,2,3,2,2,5,4,5,2,4,2,5
11652702,3,2,4,3,5,4,4,3,3,5,1,1,5,3,4,3,4,2,3,5,4,3,2,3,5,2,2,4,2,4,4,4,4,3,4,1,2,3,3,4,1,3,3,5
11652900,4,3,5,4,2,4,4,2,1,5,3,1,5,5,2,2,3,4,5,5,2,1,5,1,1,4,3,4,5,3,4,3,5,2,4,1,2,5,5,2,3,4,2,4
11653598,2,2,4,1,4,4,5,1,3,5,3,2,5,3,5,3,3,2,3,4,4,4,1,4,4,3,2,5,2,5,4,5,5,4,3,2,1,5,3,5,1,5,2,3
11665439,2,2,5,3,4,4,5,2,4,5,2,1,5,2,5,4,5,1,4,5,4,4,1,2,4,2,2,5,4,5,4,4,5,3,5,2,2,5,2,4,1,4,2,5
11665444,1,4,5,5,1,4,5,5,2,1,1,4,5,5,1,1,2,1,5,5,4,5,1,4,1,5,5,4,5,1,4,4,5,1,4,1,5,4,5,5,5,3,5,1
11665450,2,4,5,5,4,2,5,5,1,4,1,1,5,5,3,1,4,5,5,1,2,4,4,4,1,1,4,5,2,1,5,4,5,1,5,1,2,4,4,1,5,5,4,1
11665465,2,4,5,4,5,5,5,1,2,5,2,1,5,4,5,2,1,1,4,5,4,4,1,2,5,1,3,5,4,4,4,5,4,2,2,1,2,5,4,5,1,4,2,4
11665605,5,1,4,2,4,1,5,3,3,4,3,1,5,3,3,4,5,4,4,5,1,5,2,3,4,4,1,4,4,4,1,5,4,3,3,4,1,4,3,4,2,4,3,3
11665637,5,2,5,1,4,1,2,2,5,5,5,2,2,4,4,4,5,2,1,4,1,4,1,5,4,4,1,5,1,5,1,5,5,5,2,5,2,5,1,4,2,4,1,4
11665717,5,1,5,1,4,1,5,1,5,5,5,1,5,1,4,5,5,1,1,5,1,5,1,5,4,3,1,5,1,5,1,5,5,5,1,5,1,5,1,5,1,5,2,5
11665781,4,4,2,4,4,1,2,4,1,5,2,1,2,4,4,4,4,5,4,4,2,2,1,1,4,1,4,2,4,5,2,5,2,2,2,4,1,2,5,4,1,1,5,5
11665846,5,3,5,1,5,1,5,1,5,4,5,1,5,1,1,5,4,1,2,4,1,5,1,5,4,5,2,5,1,1,5,5,5,5,2,5,2,5,5,4,3,4,1,3
11666017,5,4,2,4,4,2,4,4,2,4,4,5,4,3,4,4,3,3,4,3,2,4,4,2,4,2,2,3,4,4,1,4,2,2,4,5,2,4,4,3,4,4,3,3
11666076,1,4,5,5,5,5,4,2,1,5,1,4,5,5,5,1,2,2,5,5,5,2,2,1,5,1,4,5,5,2,5,4,4,1,5,1,4,4,5,4,5,2,5,2
11666153,3,1,4,2,4,5,5,1,5,5,2,1,5,1,3,2,4,4,2,5,4,3,2,4,3,2,1,5,2,3,1,4,5,5,3,3,1,4,1,3,2,4,1,4
11666462,4,4,5,1,5,2,4,2,5,5,4,2,5,4,5,5,4,2,2,5,2,2,2,5,5,2,2,5,2,5,2,4,5,5,1,4,2,4,1,5,1,4,2,4
11666481,4,4,4,4,4,2,5,4,4,5,4,2,5,4,5,4,5,5,2,4,4,4,1,5,5,5,2,4,2,5,4,5,4,4,5,1,2,4,4,4,2,4,4,5
11666498,5,1,5,1,4,2,5,1,5,5,3,1,5,2,5,3,3,1,1,4,1,3,1,5,4,5,1,5,1,5,2,5,5,5,3,4,1,5,1,5,2,3,1,4
11666541,2,3,4,3,4,5,4,2,2,5,1,2,4,4,2,2,3,1,5,4,5,2,2,3,3,1,2,4,4,4,5,4,4,4,4,2,3,4,5,4,2,3,2,1
11666629,3,3,3,4,4,3,3,3,3,3,3,2,3,3,5,3,3,3,5,5,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,4,3,1,3,3,5
11666650,2,2,4,5,2,5,2,4,1,2,2,4,2,5,1,2,4,5,5,1,4,1,4,4,2,4,5,2,4,1,5,4,2,2,5,1,4,4,5,1,4,5,4,2
11666969,5,1,5,1,5,1,5,2,5,5,3,1,5,4,5,5,1,1,1,4,1,3,1,5,5,5,4,5,4,5,1,4,5,5,3,5,3,5,1,5,1,5,3,5
11667145,5,1,5,1,5,4,5,1,5,3,5,1,5,1,5,5,5,1,1,3,3,5,1,5,5,1,1,5,1,5,4,5,4,4,4,4,1,4,1,5,1,5,2,3
11667383,5,3,4,1,4,4,3,2,4,5,3,2,4,3,4,2,1,4,3,5,4,2,4,5,4,2,3,4,3,5,5,3,2,4,3,1,3,4,4,4,1,3,4,2
11667572,4,3,5,1,4,2,3,2,4,5,5,3,5,4,4,4,1,1,3,4,1,1,1,4,4,5,4,5,4,4,1,3,5,4,2,4,4,5,2,4,2,3,2,4
11667573,4,1,5,1,5,1,5,2,2,5,5,1,5,4,5,5,5,2,4,5,2,4,2,4,5,4,2,5,4,5,2,5,5,4,2,4,1,5,4,4,1,4,2,5
11667632,4,1,5,1,5,2,5,1,5,5,5,1,5,2,5,4,5,1,2,5,2,4,1,5,5,4,1,5,2,5,2,5,5,5,2,5,1,5,1,5,1,5,1,5
11667763,4,2,5,1,4,2,4,1,5,5,4,2,5,2,5,2,1,1,1,2,2,1,1,5,2,5,2,5,4,5,2,5,5,4,4,4,2,5,1,2,2,4,1,5
11667941,4,4,5,2,4,4,4,4,5,4,2,1,5,2,3,2,2,5,4,4,4,4,5,4,3,4,4,5,4,4,4,5,4,4,5,4,1,4,2,4,4,4,2,4
11667966,2,2,4,2,4,4,4,2,4,4,4,2,4,2,4,4,4,2,2,4,4,4,1,4,3,3,2,5,2,5,4,5,5,4,2,2,1,5,2,5,1,5,1,3
11668005,5,2,5,1,5,2,4,1,4,5,3,1,4,3,5,4,4,2,2,5,1,3,3,4,5,5,4,4,2,5,2,3,3,4,2,5,3,3,2,5,1,5,4,5
11668041,1,1,5,4,3,5,5,1,2,4,4,1,5,1,2,4,5,1,5,4,5,5,1,2,2,1,1,5,1,2,5,5,5,3,5,1,1,4,5,4,4,5,1,1
11668218,4,2,5,1,5,1,5,1,5,5,5,1,5,2,5,5,5,1,1,5,1,4,1,5,5,4,3,4,2,4,2,5,5,5,2,5,2,5,2,5,2,5,2,4
11668279,1,2,5,2,4,5,4,1,2,5,2,1,5,4,5,2,3,2,2,4,5,1,2,3,5,1,4,5,4,5,4,3,5,4,2,2,2,4,3,5,2,4,2,3
11668368,3,4,4,3,4,5,5,2,1,5,2,2,5,5,4,2,4,4,5,5,5,2,3,4,4,2,4,4,4,4,5,5,4,5,4,3,3,4,5,4,2,5,4,5
11671634,4,2,5,2,4,4,5,1,4,5,3,1,5,3,4,4,4,1,5,4,3,3,1,5,4,4,1,5,4,3,4,5,5,4,5,4,1,5,4,4,2,3,2,4
11671697,2,4,3,5,2,5,4,4,1,4,1,3,3,5,3,1,2,5,5,5,4,3,5,1,2,3,3,2,5,4,5,4,2,1,5,1,4,1,5,3,2,4,5,4
11671818,4,2,5,1,2,2,5,1,4,5,4,1,5,2,4,5,5,1,1,5,3,5,1,5,5,3,1,5,1,5,2,5,5,5,3,4,1,5,1,5,1,5,1,5
11672647,2,3,2,3,3,5,3,2,5,3,1,2,3,2,2,3,3,4,2,4,4,3,4,3,2,3,3,3,4,3,4,3,2,2,3,1,3,3,4,3,2,3,2,1
11674611,1,2,5,1,3,5,4,2,5,5,3,1,5,2,4,3,4,1,2,3,5,4,1,5,3,4,2,5,2,4,4,4,5,5,3,1,2,4,2,4,2,3,1,4
11674631,2,1,3,5,5,4,5,4,4,5,2,3,5,4,5,1,5,4,1,5,4,4,4,5,4,3,4,2,5,5,5,4,5,5,3,2,3,5,1,4,3,4,5,4
11675287,3,4,2,5,4,4,5,5,1,5,4,1,1,5,5,3,5,5,5,5,5,5,5,1,5,1,1,1,5,5,5,5,1,1,3,1,3,1,5,5,1,5,5,4
11913392,5,2,5,1,4,1,4,2,4,5,4,1,5,2,5,4,2,1,2,4,1,4,1,5,4,4,1,5,2,5,1,5,5,4,4,5,2,4,1,5,1,4,2,4
11914120,2,4,5,2,4,4,4,2,4,5,3,1,5,4,4,3,4,1,4,3,4,2,2,4,4,4,3,5,4,4,4,4,5,4,3,2,2,5,4,5,3,3,1,3
11931829,1,3,4,4,3,5,4,4,3,4,2,1,4,4,5,3,5,4,2,4,5,3,4,3,3,1,1,4,3,5,5,5,4,5,3,1,2,3,4,4,1,2,5,4
11931864,4,3,5,1,4,3,3,3,5,2,4,2,4,1,4,4,4,1,1,4,1,3,2,3,3,2,2,3,1,4,1,3,3,4,1,4,1,4,1,5,1,4,1,4
11932074,1,4,5,5,1,1,4,5,1,4,2,2,5,5,1,1,5,4,5,1,1,4,1,4,1,1,5,4,5,1,1,4,5,1,5,2,5,4,4,1,5,4,4,1
11932189,1,4,5,5,1,4,5,5,1,1,2,5,5,5,1,2,2,1,5,4,4,5,1,2,1,5,5,5,4,1,4,5,5,1,5,2,5,4,5,1,5,3,5,1
11932374,2,3,4,4,3,4,3,2,4,4,2,2,4,3,3,2,3,2,4,3,4,2,4,4,3,2,2,4,4,3,4,4,4,4,5,1,2,5,3,4,3,2,3,3
11932375,5,2,5,1,2,1,4,1,5,4,4,1,5,2,2,2,4,1,2,2,2,5,1,5,1,4,4,5,2,2,1,4,5,5,5,4,2,5,2,2,4,4,2,2
11932406,4,5,5,1,5,5,5,1,2,5,4,1,5,5,5,5,1,1,4,5,4,1,1,3,5,2,1,5,4,5,1,5,5,2,1,3,1,5,4,5,1,5,1,5
11932489,2,4,5,1,2,4,4,2,4,5,1,2,5,3,4,1,2,2,5,4,4,2,2,4,2,2,2,5,4,5,4,5,4,4,4,1,1,4,5,2,2,4,1,4
11932513,5,1,5,1,5,1,5,1,5,5,3,1,5,1,4,3,3,1,1,5,1,3,1,5,4,5,1,5,1,5,2,4,5,5,3,4,2,5,1,4,1,3,1,4
11932694,2,3,5,2,3,5,5,2,2,5,3,2,4,5,5,3,4,2,4,4,5,5,2,3,4,2,2,4,2,4,4,5,4,2,5,1,2,4,5,4,4,5,3,3
11932801,2,3,4,2,4,4,5,3,4,5,3,1,4,2,5,3,5,4,4,4,4,2,3,4,4,4,3,2,4,5,4,5,4,3,1,4,2,4,4,5,1,4,4,5
11934473,2,1,5,2,4,4,5,1,4,4,4,1,5,2,4,4,4,1,1,4,4,5,1,4,5,1,1,4,1,1,3,4,4,4,4,4,1,5,1,4,4,4,1,2
11934547,4,3,4,1,4,4,4,2,4,5,3,2,4,3,4,2,1,3,3,5,4,2,4,4,3,2,3,4,2,4,5,3,2,4,3,1,3,4,3,4,2,3,4,2
11934574,2,1,4,4,4,5,4,1,2,5,1,1,5,4,2,2,5,1,5,4,4,5,1,2,4,1,1,5,4,4,5,5,5,4,4,2,1,4,5,4,1,5,1,2
11934591,5,1,5,1,5,1,4,2,5,5,5,1,5,1,5,5,1,2,1,5,1,2,1,5,5,5,1,5,1,5,1,5,5,5,2,5,1,5,1,5,1,4,1,4
11935138,4,5,5,3,4,2,5,2,2,5,4,4,5,5,3,4,2,2,4,5,2,4,1,3,4,5,4,5,5,5,2,2,5,5,3,4,4,4,1,5,2,5,4,3
11935599,5,3,4,3,2,1,4,4,2,3,5,2,5,4,3,3,4,2,4,4,1,5,1,3,2,2,4,5,4,4,4,4,3,2,4,5,4,4,3,3,2,5,3,3
11935789,4,2,4,3,5,3,4,3,3,4,3,2,4,3,5,4,4,3,4,5,2,4,3,3,5,3,3,4,3,5,3,4,4,3,2,4,2,4,4,5,2,4,4,3
11936703,4,2,5,1,4,4,4,1,4,3,4,2,5,3,4,4,4,2,2,4,2,3,1,5,5,4,2,5,1,4,3,4,4,5,3,4,4,4,1,3,2,2,2,3
11940020,3,1,4,1,5,3,5,1,5,5,4,1,4,1,4,5,2,2,1,1,3,2,2,5,5,3,1,4,1,5,3,5,4,5,4,4,1,4,1,5,1,5,1,5
11940898,5,2,5,1,4,2,4,1,5,5,4,2,5,2,5,2,1,1,1,4,1,1,1,5,2,4,1,5,4,5,1,5,5,5,4,4,2,5,1,2,1,4,1,5
11941590,2,4,5,4,5,4,3,1,4,5,2,1,5,3,5,4,4,2,4,5,4,2,2,5,5,3,4,5,2,5,4,4,5,5,3,2,1,4,3,5,1,4,3,5
12164951,4,3,5,1,5,4,4,1,5,5,4,4,5,3,5,4,2,2,1,5,4,4,1,5,5,4,2,5,4,5,4,4,4,5,4,4,4,5,1,5,1,4,1,5
12164954,1,1,4,1,3,5,4,1,4,4,2,1,5,2,4,1,1,4,1,1,5,5,5,5,3,1,3,4,1,1,3,5,4,4,1,1,1,3,2,2,5,3,2,1
12165018,3,4,2,5,2,4,1,4,1,4,1,3,2,4,2,2,2,4,5,3,4,2,3,1,2,1,5,3,5,4,5,3,2,1,5,2,4,2,5,3,2,4,3,5
12165146,2,4,4,1,4,4,4,4,5,4,2,1,4,1,3,1,2,4,1,2,4,2,1,5,2,1,4,4,1,4,4,4,4,5,2,2,4,2,2,4,1,3,2,4
12165229,5,4,5,1,4,1,4,1,4,5,5,1,5,4,4,4,5,2,1,4,1,5,1,4,3,4,2,5,1,4,1,5,5,4,2,5,2,5,1,4,2,5,1,3
12165240,1,4,5,5,5,5,4,4,1,5,1,2,5,5,5,1,2,2,5,5,5,2,2,1,5,1,4,5,5,2,5,4,4,1,5,1,4,4,5,2,5,2,5,1
12165817,2,5,5,1,5,5,3,3,3,5,3,1,5,3,5,1,1,1,1,5,5,3,1,5,5,1,5,5,3,5,5,1,5,5,3,1,5,5,5,5,1,2,3,5
12165931,1,4,5,4,1,5,5,2,1,1,1,4,5,5,1,2,5,1,5,4,5,5,1,2,1,5,5,5,5,2,4,4,5,1,5,2,5,5,5,2,5,4,5,1
12166182,4,4,5,1,5,2,4,1,5,5,3,4,5,4,5,3,2,2,1,5,1,2,1,5,5,2,2,5,1,5,4,4,5,5,2,4,4,5,1,5,1,3,2,5
12207478,5,1,5,1,4,1,5,1,5,5,5,1,5,1,4,5,5,2,1,5,1,5,1,5,4,1,1,5,1,5,1,5,4,5,1,5,1,5,1,5,1,5,2,5
12218235,4,3,5,2,4,2,4,4,4,4,3,2,5,4,3,3,4,2,2,4,2,4,2,4,4,4,4,5,4,4,2,3,4,3,3,4,4,4,2,4,1,4,2,3
12219352,4,1,5,1,5,4,5,1,5,5,5,1,5,4,5,4,2,1,5,5,1,1,1,4,5,2,1,5,4,5,2,5,5,3,1,4,1,5,4,5,1,5,1,5
12219557,5,2,5,1,5,1,4,2,5,5,5,1,5,1,5,5,1,2,1,5,1,2,1,5,5,5,1,5,1,5,1,4,5,5,2,5,1,5,1,5,1,4,2,4
12219667,1,1,5,2,5,5,5,1,2,2,2,1,5,1,3,3,5,2,1,5,5,5,1,3,4,1,1,5,1,5,4,5,4,2,3,2,1,5,1,5,1,5,2,5
12220463,2,4,4,1,4,4,4,4,5,4,2,2,5,1,3,1,2,4,1,4,4,2,2,5,2,1,4,5,1,4,4,4,4,4,1,2,1,4,2,2,2,3,2,4
