Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
5,1693169492027,27/08/2023 20:51:32,1693155092027,-4,27/08/2023 12:51:32,132936,11,questionnaire-8v2c,,31382696,BLIND,9295082,,complete,yxyukr,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x649,,,0,welcomeAndConsent,9,BCA,2,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",response,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
6,1693169492029,27/08/2023 20:51:32,1693155092029,-4,27/08/2023 12:51:32,132936,11,questionnaire-8v2c,,31382696,BLIND,9295082,,complete,yxyukr,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x649,,,0,welcomeAndConsent,9,BCA,2,,,,,5,,END,,,,,
1,1693167240692,27/08/2023 20:14:00,1693152840692,-4,27/08/2023 12:14:00,132936,11,questionnaire-8v2c,,31382519,BLIND,9295046,,complete,aasbyh,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,983x957,,,0,welcomeAndConsent,9,ABC,2,,,,,5,,BEGIN,,,,,
2,1693167252826,27/08/2023 20:14:12,1693152852826,-4,27/08/2023 12:14:12,132936,11,questionnaire-8v2c,,31382519,BLIND,9295046,,complete,aasbyh,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,983x957,,,0,welcomeAndConsent,9,ABC,2,Page 1,4txcqs,1,What is your age?,response,value,38,,,Number Entry,3,object-4
3,1693167252826,27/08/2023 20:14:12,1693152852826,-4,27/08/2023 12:14:12,132936,11,questionnaire-8v2c,,31382519,BLIND,9295046,,complete,aasbyh,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,983x957,,,0,welcomeAndConsent,9,ABC,2,Page 1,4txcqs,1,What is your gender?,response,value,Male,,Male|Female|Non-Binary,Dropdown,4,object-5
4,1693167252826,27/08/2023 20:14:12,1693152852826,-4,27/08/2023 12:14:12,132936,11,questionnaire-8v2c,,31382519,BLIND,9295046,,complete,aasbyh,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,983x957,,,0,welcomeAndConsent,9,ABC,2,Page 1,4txcqs,1,What is your gender?,response,quantised,1,,Male|Female|Non-Binary,Dropdown,4,object-5
5,1693167252826,27/08/2023 20:14:12,1693152852826,-4,27/08/2023 12:14:12,132936,11,questionnaire-8v2c,,31382519,BLIND,9295046,,complete,aasbyh,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,983x957,,,0,welcomeAndConsent,9,ABC,2,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",response,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
6,1693167252826,27/08/2023 20:14:12,1693152852826,-4,27/08/2023 12:14:12,132936,11,questionnaire-8v2c,,31382519,BLIND,9295046,,complete,aasbyh,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,983x957,,,0,welcomeAndConsent,9,ABC,2,,,,,5,,END,,,,,
1,1693164381982,27/08/2023 19:26:21,1693149981982,-4,27/08/2023 11:26:21,132936,11,questionnaire-8v2c,,31382226,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,0,welcomeAndConsent,9,CAB,1,,,,,5,,BEGIN,,,,,
2,1693164401060,27/08/2023 19:26:41,1693150001060,-4,27/08/2023 11:26:41,132936,11,questionnaire-8v2c,,31382226,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,0,welcomeAndConsent,9,CAB,1,Page 1,4txcqs,1,What is your age?,response,value,28,,,Number Entry,3,object-4
3,1693164401060,27/08/2023 19:26:41,1693150001060,-4,27/08/2023 11:26:41,132936,11,questionnaire-8v2c,,31382226,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,0,welcomeAndConsent,9,CAB,1,Page 1,4txcqs,1,What is your gender?,response,value,Male,,Male|Female|Non-Binary,Dropdown,4,object-5
4,1693164401061,27/08/2023 19:26:41,1693150001061,-4,27/08/2023 11:26:41,132936,11,questionnaire-8v2c,,31382226,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,0,welcomeAndConsent,9,CAB,1,Page 1,4txcqs,1,What is your gender?,response,quantised,1,,Male|Female|Non-Binary,Dropdown,4,object-5
5,1693164401061,27/08/2023 19:26:41,1693150001061,-4,27/08/2023 11:26:41,132936,11,questionnaire-8v2c,,31382226,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,0,welcomeAndConsent,9,CAB,1,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",response,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
6,1693164401061,27/08/2023 19:26:41,1693150001061,-4,27/08/2023 11:26:41,132936,11,questionnaire-8v2c,,31382226,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,0,welcomeAndConsent,9,CAB,1,,,,,5,,END,,,,,
1,1693173349999,27/08/2023 21:55:49,1693148149999,-7,27/08/2023 07:55:49,132936,11,questionnaire-8v2c,,31382065,BLIND,9294939,,complete,rmiwzn,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1537x732,1536x726,,,0,welcomeAndConsent,9,BCA,2,,,,,5,,BEGIN,,,,,
2,1693173359417,27/08/2023 21:55:59,1693148159417,-7,27/08/2023 07:55:59,132936,11,questionnaire-8v2c,,31382065,BLIND,9294939,,complete,rmiwzn,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1537x732,1536x726,,,0,welcomeAndConsent,9,BCA,2,Page 1,4txcqs,1,What is your age?,response,value,40,,,Number Entry,3,object-4
3,1693173359418,27/08/2023 21:55:59,1693148159418,-7,27/08/2023 07:55:59,132936,11,questionnaire-8v2c,,31382065,BLIND,9294939,,complete,rmiwzn,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1537x732,1536x726,,,0,welcomeAndConsent,9,BCA,2,Page 1,4txcqs,1,What is your gender?,response,value,Male,,Male|Female|Non-Binary,Dropdown,4,object-5
4,1693173359418,27/08/2023 21:55:59,1693148159418,-7,27/08/2023 07:55:59,132936,11,questionnaire-8v2c,,31382065,BLIND,9294939,,complete,rmiwzn,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1537x732,1536x726,,,0,welcomeAndConsent,9,BCA,2,Page 1,4txcqs,1,What is your gender?,response,quantised,1,,Male|Female|Non-Binary,Dropdown,4,object-5
5,1693173359418,27/08/2023 21:55:59,1693148159418,-7,27/08/2023 07:55:59,132936,11,questionnaire-8v2c,,31382065,BLIND,9294939,,complete,rmiwzn,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1537x732,1536x726,,,0,welcomeAndConsent,9,BCA,2,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",response,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
6,1693173359418,27/08/2023 21:55:59,1693148159418,-7,27/08/2023 07:55:59,132936,11,questionnaire-8v2c,,31382065,BLIND,9294939,,complete,rmiwzn,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1537x732,1536x726,,,0,welcomeAndConsent,9,BCA,2,,,,,5,,END,,,,,
1,1693181977157,28/08/2023 00:19:37,1693145977157,-10,27/08/2023 04:19:37,132936,11,questionnaire-8v2c,,31381917,BLIND,9294900,,complete,qabane,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2266x1275,1379x977,,,0,welcomeAndConsent,9,ABC,2,,,,,5,,BEGIN,,,,,
2,1693182012592,28/08/2023 00:20:12,1693146012592,-10,27/08/2023 04:20:12,132936,11,questionnaire-8v2c,,31381917,BLIND,9294900,,complete,qabane,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2266x1275,1379x977,,,0,welcomeAndConsent,9,ABC,2,Page 1,4txcqs,1,What is your age?,response,value,43,,,Number Entry,3,object-4
3,1693182012592,28/08/2023 00:20:12,1693146012592,-10,27/08/2023 04:20:12,132936,11,questionnaire-8v2c,,31381917,BLIND,9294900,,complete,qabane,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2266x1275,1379x977,,,0,welcomeAndConsent,9,ABC,2,Page 1,4txcqs,1,What is your gender?,response,value,Female,,Male|Female|Non-Binary,Dropdown,4,object-5
4,1693182012592,28/08/2023 00:20:12,1693146012592,-10,27/08/2023 04:20:12,132936,11,questionnaire-8v2c,,31381917,BLIND,9294900,,complete,qabane,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2266x1275,1379x977,,,0,welcomeAndConsent,9,ABC,2,Page 1,4txcqs,1,What is your gender?,response,quantised,2,,Male|Female|Non-Binary,Dropdown,4,object-5
5,1693182012593,28/08/2023 00:20:12,1693146012593,-10,27/08/2023 04:20:12,132936,11,questionnaire-8v2c,,31381917,BLIND,9294900,,complete,qabane,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2266x1275,1379x977,,,0,welcomeAndConsent,9,ABC,2,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",response,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
6,1693182012593,28/08/2023 00:20:12,1693146012593,-10,27/08/2023 04:20:12,132936,11,questionnaire-8v2c,,31381917,BLIND,9294900,,complete,qabane,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2266x1275,1379x977,,,0,welcomeAndConsent,9,ABC,2,,,,,5,,END,,,,,
1,1693169268407,27/08/2023 20:47:48,1693144068407,-7,27/08/2023 06:47:48,132936,11,questionnaire-8v2c,,31381795,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,0,welcomeAndConsent,9,BCA,2,,,,,5,,BEGIN,,,,,
2,1693169279449,27/08/2023 20:47:59,1693144079449,-7,27/08/2023 06:47:59,132936,11,questionnaire-8v2c,,31381795,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,0,welcomeAndConsent,9,BCA,2,Page 1,4txcqs,1,What is your age?,response,value,44,,,Number Entry,3,object-4
3,1693169279449,27/08/2023 20:47:59,1693144079449,-7,27/08/2023 06:47:59,132936,11,questionnaire-8v2c,,31381795,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,0,welcomeAndConsent,9,BCA,2,Page 1,4txcqs,1,What is your gender?,response,value,Male,,Male|Female|Non-Binary,Dropdown,4,object-5
4,1693169279449,27/08/2023 20:47:59,1693144079449,-7,27/08/2023 06:47:59,132936,11,questionnaire-8v2c,,31381795,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,0,welcomeAndConsent,9,BCA,2,Page 1,4txcqs,1,What is your gender?,response,quantised,1,,Male|Female|Non-Binary,Dropdown,4,object-5
5,1693169279449,27/08/2023 20:47:59,1693144079449,-7,27/08/2023 06:47:59,132936,11,questionnaire-8v2c,,31381795,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,0,welcomeAndConsent,9,BCA,2,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",response,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
6,1693169279450,27/08/2023 20:47:59,1693144079450,-7,27/08/2023 06:47:59,132936,11,questionnaire-8v2c,,31381795,BLIND,9294875,,complete,isjeyd,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,1022x1025,,,0,welcomeAndConsent,9,BCA,2,,,,,5,,END,,,,,
1,1693156826256,27/08/2023 17:20:26,1693142426256,-4,27/08/2023 09:20:26,132936,11,questionnaire-8v2c,,31381690,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,0,welcomeAndConsent,9,ABC,1,,,,,5,,BEGIN,,,,,
2,1693156973321,27/08/2023 17:22:53,1693142573321,-4,27/08/2023 09:22:53,132936,11,questionnaire-8v2c,,31381690,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,0,welcomeAndConsent,9,ABC,1,Page 1,4txcqs,1,What is your age?,response,value,49,,,Number Entry,3,object-4
3,1693156973321,27/08/2023 17:22:53,1693142573321,-4,27/08/2023 09:22:53,132936,11,questionnaire-8v2c,,31381690,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,0,welcomeAndConsent,9,ABC,1,Page 1,4txcqs,1,What is your gender?,response,value,Female,,Male|Female|Non-Binary,Dropdown,4,object-5
4,1693156973321,27/08/2023 17:22:53,1693142573321,-4,27/08/2023 09:22:53,132936,11,questionnaire-8v2c,,31381690,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,0,welcomeAndConsent,9,ABC,1,Page 1,4txcqs,1,What is your gender?,response,quantised,2,,Male|Female|Non-Binary,Dropdown,4,object-5
5,1693156973321,27/08/2023 17:22:53,1693142573321,-4,27/08/2023 09:22:53,132936,11,questionnaire-8v2c,,31381690,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,0,welcomeAndConsent,9,ABC,1,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",response,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
6,1693156973321,27/08/2023 17:22:53,1693142573321,-4,27/08/2023 09:22:53,132936,11,questionnaire-8v2c,,31381690,BLIND,9294846,,complete,imboct,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1680x1050,1113x802,,,0,welcomeAndConsent,9,ABC,1,,,,,5,,END,,,,,
END OF FILE
