Participant.Private.ID,Participant.Status,arm,chat,chatType,counterbalance,chat1_first,gorillaExp,chatCondition,good_ids,chatId,botpersonality,bots_Mixed,bots_Negative,bots_Neutral,bots_Positive,bots_mean_words,user_Mixed,user_Negative,user_Neutral,user_Positive,user_mean_words,user_mean_rt,num_interactions,gpt_user_mirror,user_gpt_mirror,chatCode,chat-again,different,similar,enjoy,distant,understood
10269413,complete,B_2PatNorm_1AlexAnx,1,Anxious,B,no,AB,alex_anx,10269413Anxious,1485,Anxious,6,2,3,5,23.4375,2,1,6,7,12.75,393668.5625,16,0.3125,0.2,10269413Anxious,1,4,2,3,5,4
10269434,complete,A_1PatAnx_2AlexNorm,1,Anxious,A,yes,AB,pat_anx,10269434Anxious,2222,Anxious,6,6,2,4,23.55555556,1,1,8,8,8.611111111,419447.8333,18,0.166666667,0.117647059,10269434Anxious,2,3,3,2,4,2
10269440,complete,A_2AlexNorm_1PatAnx,1,Anxious,A,no,AB,pat_anx,10269440Anxious,9597,Anxious,9,7,2,1,23.31578947,1,3,8,7,20.26315789,380833.1053,19,0.210526316,0.166666667,10269440Anxious,4,4,2,3,4,2
10269445,complete,A_2AlexNorm_1PatAnx,1,Anxious,A,no,AB,pat_anx,10269445Anxious,2962,Anxious,3,12,2,2,20.47368421,4,9,5,1,10.05263158,400854.3684,19,0.315789474,0.722222222,10269445Anxious,5,2,5,5,2,4
10269450,complete,B_1AlexAnx_2PatNorm,1,Anxious,B,yes,AB,alex_anx,10269450Anxious,5519,Anxious,1,12,2,2,16.23529412,1,13,1,2,9.764705882,403398.2941,17,0.529411765,0.5625,10269450Anxious,2,5,5,5,5,2
10269475,complete,A_1PatAnx_2AlexNorm,1,Anxious,A,yes,AB,pat_anx,10269475Anxious,2246,Anxious,7,4,3,3,21.82352941,0,0,13,4,12.05882353,366900.2941,17,0.235294118,0.125,10269475Anxious,1,3,2,2,2,2
10269476,complete,B_2PatNorm_1AlexAnx,1,Anxious,B,no,AB,alex_anx,10269476Anxious,7902,Anxious,6,10,4,2,20.95454545,3,0,8,11,11.77272727,373093.7727,22,0.181818182,0.238095238,10269476Anxious,4,4,3,4,2,3
10269598,complete,A_2AlexNorm_1PatAnx,1,Anxious,A,no,AB,pat_anx,10269598Anxious,3786,Anxious,8,3,6,14,19.64516129,1,5,15,10,5.741935484,364049.2903,31,0.290322581,0.433333333,10269598Anxious,1,5,1,1,5,2
10269734,complete,A_2AlexNorm_1PatAnx,1,Anxious,A,no,AB,pat_anx,10269734Anxious,9338,Anxious,5,4,3,7,21.21052632,1,3,4,11,10.94736842,378579.3684,19,0.210526316,0.333333333,10269734Anxious,5,5,4,4,1,4
10269900,complete,B_2PatNorm_1AlexAnx,1,Anxious,B,no,AB,alex_anx,10269900Anxious,3691,Anxious,5,12,7,5,20.31034483,0,10,17,2,7.068965517,378063.8966,29,0.379310345,0.392857143,10269900Anxious,2,4,2,2,4,2
10269912,complete,B_1AlexAnx_2PatNorm,1,Anxious,B,yes,AB,alex_anx,10269912Anxious,9157,Anxious,5,4,5,9,17.30434783,0,2,11,10,5.826086957,470380.6957,23,0.434782609,0.409090909,10269912Anxious,4,3,4,4,2,4
10269942,complete,B_2PatNorm_1AlexAnx,1,Anxious,B,no,AB,alex_anx,10269942Anxious,1373,Anxious,4,15,2,2,18.7826087,1,11,10,1,7.217391304,485493.087,23,0.347826087,0.272727273,10269942Anxious,2,3,4,3,4,4
10270008,complete,B_1AlexAnx_2PatNorm,1,Anxious,B,yes,AB,alex_anx,10270008Anxious,5395,Anxious,5,11,3,3,21.63636364,1,2,11,8,10.36363636,413050.4091,22,0.045454545,0.047619048,10270008Anxious,2,4,2,3,3,2
10270100,complete,A_1PatAnx_2AlexNorm,1,Anxious,A,yes,AB,pat_anx,10270100Anxious,4155,Anxious,8,4,9,10,18.51612903,0,4,21,6,5.935483871,293116.9355,31,0.193548387,0.166666667,10270100Anxious,4,3,4,4,2,4
10270275,complete,A_1PatAnx_2AlexNorm,1,Anxious,A,yes,AB,pat_anx,10270275Anxious,7350,Anxious,1,6,3,3,20.46153846,0,1,9,2,8,208313.9231,13,0,0.25,10270275Anxious,3,3,3,3,4,3
10270371,complete,A_1PatAnx_2AlexNorm,1,Anxious,A,yes,AB,pat_anx,10270371Anxious,1958,Anxious,5,6,3,4,21.55555556,1,1,11,5,7.555555556,391695.3889,18,0.222222222,0.411764706,10270371Anxious,2,4,2,3,4,2
10270474,complete,B_1AlexAnx_2PatNorm,1,Anxious,B,yes,AB,alex_anx,10270474Anxious,9591,Anxious,7,4,4,2,29.88235294,1,3,11,2,10.82352941,389791.0588,17,0.352941176,0.25,10270474Anxious,2,5,2,2,4,2
10270540,complete,B_2PatNorm_1AlexAnx,1,Anxious,B,no,AB,alex_anx,10270540Anxious,1153,Anxious,3,9,10,9,20.70967742,1,5,20,5,6.35483871,302092.1935,31,0.35483871,0.366666667,10270540Anxious,1,2,5,4,2,4
10270624,complete,A_2AlexNorm_1PatAnx,1,Anxious,A,no,AB,pat_anx,10270624Anxious,4256,Anxious,1,1,3,9,23.85714286,0,1,5,8,14.21428571,463445.8571,14,0.714285714,0.615384615,10270624Anxious,4,4,1,4,4,4
10270847,complete,A_2AlexNorm_1PatAnx,1,Anxious,A,no,AB,pat_anx,10270847Anxious,8796,Anxious,8,9,5,6,21.60714286,2,6,11,9,10.75,381483.0357,28,0.214285714,0.296296296,10270847Anxious,2,3,2,2,4,3
10288304,complete,B_1AlexAnx_2PatNorm,1,Anxious,B,yes,AB,alex_anx,10288304Anxious,7281,Anxious,6,5,3,4,28.27777778,3,1,9,5,21.05555556,352653.7222,18,0.388888889,0.235294118,10288304Anxious,2,5,2,3,5,4
10288907,complete,A_1PatAnx_2AlexNorm,1,Anxious,A,yes,AB,pat_anx,10288907Anxious,9432,Anxious,7,2,6,10,25.76,2,5,13,5,11.16,358825.92,25,0.2,0.333333333,10288907Anxious,1,5,1,1,5,1
10290591,complete,A_1PatAnx_2AlexNorm,1,Anxious,A,yes,AB,pat_anx,10290591Anxious,8531,Anxious,9,3,6,5,23.04347826,1,2,12,8,9.391304348,392602,23,0.347826087,0.227272727,10290591Anxious,4,4,2,4,2,3
10291341,complete,A_2AlexNorm_1PatAnx,1,Anxious,A,no,AB,pat_anx,10291341Anxious,1211,Anxious,7,3,9,5,30.20833333,3,1,10,10,23.20833333,363713.625,24,0.25,0.260869565,10291341Anxious,4,4,2,4,3,2
10295692,complete,A_1PatAnx_2AlexNorm,1,Anxious,A,yes,AB,pat_anx,10295692Anxious,2868,Anxious,10,1,5,8,28.29166667,2,0,11,11,16.33333333,361595.375,24,0.25,0.434782609,10295692Anxious,2,4,2,2,4,3
10310934,complete,B_1AlexAnx_2PatNorm,1,Anxious,B,yes,AB,alex_anx,10310934Anxious,8306,Anxious,2,7,2,3,24.35714286,0,0,7,7,10.21428571,403875.7857,14,0.357142857,0.230769231,10310934Anxious,5,1,5,5,1,5
10314870,complete,A_1PatAnx_2AlexNorm,1,Anxious,A,yes,AB,pat_anx,10314870Anxious,3114,Anxious,9,2,2,4,22.94117647,3,0,4,10,23.17647059,364428.0588,17,0.352941176,0.3125,10314870Anxious,5,2,2,4,2,5
10317326,complete,A_1PatAnx_2AlexNorm,1,Anxious,A,yes,AB,pat_anx,10317326Anxious,1756,Anxious,9,2,3,2,22.1875,1,2,7,6,13.375,411195.3125,16,0.3125,0.2,10317326Anxious,1,5,1,2,4,1
10318720,complete,B_1AlexAnx_2PatNorm,1,Anxious,B,yes,AB,alex_anx,10318720Anxious,6758,Anxious,9,5,2,2,20.55555556,0,6,8,4,10.61111111,446637.5,18,0.166666667,0.176470588,10318720Anxious,2,4,3,2,3,2
10319013,complete,A_2AlexNorm_1PatAnx,1,Anxious,A,no,AB,pat_anx,10319013Anxious,6566,Anxious,3,1,5,12,24.42857143,1,2,11,7,15.42857143,369212.7619,21,0.523809524,0.45,10319013Anxious,1,5,2,1,4,2
10320108,complete,B_2PatNorm_1AlexAnx,1,Anxious,B,no,AB,alex_anx,10320108Anxious,8709,Anxious,2,6,5,2,25.4,0,0,12,3,10.66666667,1474176.067,15,0.4,0.285714286,10320108Anxious,5,1,5,5,1,5
10331151,complete,A_2AlexNorm_1PatAnx,1,Anxious,A,no,AB,pat_anx,10331151Anxious,5661,Anxious,13,2,6,2,21.17391304,0,2,13,8,11.17391304,399354.1304,23,0.260869565,0.363636364,10331151Anxious,1,5,1,1,5,1
10332599,complete,B_2PatNorm_1AlexAnx,1,Anxious,B,no,AB,alex_anx,10332599Anxious,9109,Anxious,2,3,1,5,17.63636364,0,1,2,8,17.27272727,420070.4545,11,0.272727273,0.5,10332599Anxious,5,2,5,5,2,5
10332661,complete,A_2AlexNorm_1PatAnx,1,Anxious,A,no,AB,pat_anx,10332661Anxious,5243,Anxious,8,4,5,7,20.5,0,0,8,16,14.33333333,390212.9167,24,0.208333333,0.391304348,10332661Anxious,2,5,1,3,4,2
10333863,complete,A_1PatAnx_2AlexNorm,1,Anxious,A,yes,AB,pat_anx,10333863Anxious,5108,Anxious,9,2,6,14,21.35483871,0,4,13,14,5.419354839,263110.2581,31,0.483870968,0.333333333,10333863Anxious,2,2,4,4,2,4
10333977,complete,B_2PatNorm_1AlexAnx,1,Anxious,B,no,AB,alex_anx,10333977Anxious,5296,Anxious,8,11,5,1,22.44,0,7,15,3,6.68,443232.28,25,0.24,0.291666667,10333977Anxious,5,5,2,5,5,2
10334514,complete,B_1AlexAnx_2PatNorm,1,Anxious,B,yes,AB,alex_anx,10334514Anxious,6727,Anxious,0,5,7,8,14.25,0,7,12,1,7,488498.95,20,0.5,0.473684211,10334514Anxious,2,4,2,3,4,2
10346871,complete,B_2PatNorm_1AlexAnx,1,Anxious,B,no,AB,alex_anx,10346871Anxious,3560,Anxious,7,9,4,6,23.34615385,3,5,10,8,12,395392.2308,26,0.307692308,0.32,10346871Anxious,1,5,3,3,2,2
10347192,complete,A_2AlexNorm_1PatAnx,1,Anxious,A,no,AB,pat_anx,10347192Anxious,9822,Anxious,8,19,3,1,24.32258065,1,7,20,3,7.580645161,360750.1935,31,0.258064516,0.233333333,10347192Anxious,1,5,1,1,5,1
10348325,complete,A_2AlexNorm_1PatAnx,1,Anxious,A,no,AB,pat_anx,10348325Anxious,1779,Anxious,5,9,3,9,18.76923077,0,2,15,9,10.03846154,396321.3462,26,0.153846154,0.28,10348325Anxious,5,2,5,5,1,5
10351970,complete,A_1PatAnx_2AlexNorm,1,Anxious,A,yes,AB,pat_anx,10351970Anxious,9922,Anxious,8,4,8,7,19.66666667,1,2,14,10,8.888888889,458581.963,27,0.185185185,0.269230769,10351970Anxious,1,5,1,2,4,1
10358415,complete,B_2PatNorm_1AlexAnx,1,Anxious,B,no,AB,alex_anx,10358415Anxious,4003,Anxious,3,2,12,14,21.51612903,0,6,21,4,9.032258065,334281.1613,31,0.290322581,0.366666667,10358415Anxious,2,4,2,2,4,2
10367266,complete,B_1AlexAnx_2PatNorm,1,Anxious,B,yes,AB,alex_anx,10367266Anxious,3235,Anxious,5,11,3,7,24.84615385,0,14,10,2,12.11538462,423634.6154,26,0.307692308,0.24,10367266Anxious,4,2,3,4,2,4
9804092,complete,2,2,Normal,A,no,A,alex_non,9804092Normal,7358,Normal,0,0,2,23,15.72,1,0,17,7,7.84,385995.84,25,0.36,0.333333333,9804092Normal,4,2,3,3,2,3
9804125,complete,2,2,Normal,A,no,A,alex_non,9804125Normal,1360,Normal,1,1,14,15,21.64516129,0,3,25,3,9.129032258,286529.6452,31,0.548387097,0.4,9804125Normal,3,4,2,3,4,2
9804355,complete,2,2,Normal,A,no,A,alex_non,9804355Normal,5558,Normal,4,0,4,19,23.44444444,5,1,14,7,15.96296296,464353.7407,27,0.407407407,0.307692308,9804355Normal,4,2,4,4,2,4
9804410,complete,1,2,Normal,A,yes,A,alex_non,9804410Normal,5545,Normal,1,1,7,20,19.65517241,1,2,17,9,9.172413793,388917.2759,29,0.413793103,0.571428571,9804410Normal,4,4,2,4,2,2
9804421,complete,1,2,Normal,A,yes,A,alex_non,9804421Normal,1524,Normal,1,0,1,11,24.30769231,0,2,10,1,7.384615385,336768.6923,13,0.153846154,0.083333333,9804421Normal,3,2,3,3,2,3
9804579,complete,2,2,Normal,A,no,A,alex_non,9804579Normal,1429,Normal,2,0,2,17,23.0952381,2,2,13,4,11.14285714,361301.8571,21,0.238095238,0.25,9804579Normal,4,2,2,4,2,3
9804926,complete,2,2,Normal,A,no,A,alex_non,9804926Normal,8592,Normal,0,0,2,20,17.72727273,0,3,9,10,7.136363636,369788.1818,22,0.363636364,0.476190476,9804926Normal,4,2,4,4,2,4
9805587,complete,1,2,Normal,A,yes,A,alex_non,9805587Normal,7610,Normal,0,0,4,27,22.03225806,1,2,9,19,10.03225806,329759.9677,31,0.483870968,0.6,9805587Normal,5,1,5,4,1,5
10117124,complete,2,2,Normal,B,no,B,pat_non,10117124Normal,5298,Normal,0,0,2,11,18.30769231,1,0,6,6,15.69230769,204833.7692,13,0.461538462,0.333333333,10117124Normal,5,2,5,5,2,4
10117126,complete,1,2,Normal,B,yes,B,pat_non,10117126Normal,6796,Normal,0,0,2,16,21.11111111,1,0,9,8,10.83333333,354522.8889,18,0.555555556,0.470588235,10117126Normal,4,2,4,2,2,3
10117128,complete,2,2,Normal,B,no,B,pat_non,10117128Normal,3639,Normal,0,0,1,21,18.54545455,0,0,14,8,5.363636364,270143.8182,22,0.409090909,0.333333333,10117128Normal,4,3,4,4,2,4
10117133,complete,1,2,Normal,B,yes,B,pat_non,10117133Normal,2385,Normal,0,0,3,14,19.11764706,1,3,7,6,11.05882353,390987.2353,17,0.529411765,0.25,10117133Normal,4,2,4,4,2,4
10117140,complete,1,2,Normal,B,yes,B,pat_non,10117140Normal,5359,Normal,0,0,3,11,23.21428571,2,0,6,6,15.5,398738.0714,14,0.5,0.384615385,10117140Normal,5,1,5,5,1,5
10117146,complete,2,2,Normal,B,no,B,pat_non,10117146Normal,6886,Normal,1,0,2,15,18.05555556,2,3,7,6,12.83333333,455884.1111,18,0.444444444,0.294117647,10117146Normal,4,2,4,4,2,4
10117148,complete,1,2,Normal,B,yes,B,pat_non,10117148Normal,8460,Normal,1,0,3,18,25.90909091,5,1,6,10,22.77272727,446215.3636,22,0.590909091,0.523809524,10117148Normal,5,4,3,5,2,4
10117150,complete,1,2,Normal,B,yes,B,pat_non,10117150Normal,5237,Normal,0,0,1,20,22.28571429,3,3,6,9,15.19047619,372647.2381,21,0.476190476,0.45,10117150Normal,3,2,4,4,3,4
10117154,complete,2,2,Normal,B,no,B,pat_non,10117154Normal,3372,Normal,0,1,4,21,17.73076923,1,2,14,9,10.46153846,316210.1923,26,0.423076923,0.48,10117154Normal,2,5,2,2,4,2
10117165,complete,2,2,Normal,B,no,B,pat_non,10117165Normal,5079,Normal,0,0,2,12,19.64285714,0,2,5,7,23,376338.1429,14,0.642857143,0.615384615,10117165Normal,4,3,4,4,2,3
10117171,complete,1,2,Normal,B,yes,B,pat_non,10117171Normal,8436,Normal,0,0,1,10,22,2,1,0,8,26.18181818,482317.2727,11,0.727272727,0.7,10117171Normal,5,1,5,5,1,5
10117181,complete,2,2,Normal,B,no,B,pat_non,10117181Normal,5073,Normal,0,0,3,27,19.5,4,1,12,13,9.366666667,375786.9,30,0.466666667,0.448275862,10117181Normal,5,2,4,5,1,4
10117189,complete,1,2,Normal,B,yes,B,pat_non,10117189Normal,3864,Normal,0,0,2,19,24.80952381,1,0,1,19,19.80952381,398522.8571,21,0.80952381,0.85,10117189Normal,5,1,4,5,1,4
10117196,complete,2,2,Normal,B,no,B,pat_non,10117196Normal,7133,Normal,0,0,4,5,10.44444444,0,0,6,3,3.777777778,431574.2222,9,0.777777778,0.75,10117196Normal,4,4,4,4,2,4
10117204,complete,1,2,Normal,B,yes,B,pat_non,10117204Normal,9865,Normal,1,0,1,22,19.95833333,0,3,12,9,10,362321.9583,24,0.333333333,0.391304348,10117204Normal,4,2,4,4,2,4
10117263,complete,1,2,Normal,B,yes,B,pat_non,10117263Normal,7089,Normal,0,0,1,10,21.45454545,0,0,5,6,14.72727273,301877.6364,11,0.454545455,0.6,10117263Normal,5,1,4,5,1,5
10117266,complete,1,2,Normal,B,yes,B,pat_non,10117266Normal,9069,Normal,0,0,3,28,20.06451613,2,0,16,13,11.16129032,337469.3548,31,0.451612903,0.433333333,10117266Normal,4,2,4,4,2,4
10117310,complete,2,2,Normal,B,no,B,pat_non,10117310Normal,1267,Normal,0,0,1,11,11.66666667,0,0,5,7,7,161475.4167,12,0.5,0.636363636,10117310Normal,5,1,4,5,1,4
10117352,complete,1,2,Normal,B,yes,B,pat_non,10117352Normal,5021,Normal,0,0,1,11,18.83333333,2,0,4,6,10,164234.4167,12,0.416666667,0.545454545,10117352Normal,2,3,4,2,3,3
10117424,complete,1,2,Normal,B,yes,B,pat_non,10117424Normal,9596,Normal,1,0,1,13,18.2,0,0,6,9,11.2,273813.3333,15,0.466666667,0.5,10117424Normal,4,2,4,4,2,4
